ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
7,14.5,87.1,10,Both,299.99,2,85,1,0.218358780469572,0.0636619772367581,150,23.95,29.7,1272,t_motor_U8LiteKV150,t_motor_U8LiteKV150,12,6,"4,20","22,30",,10,26.95,0.239
7,14.5,87.1,10,Both,299.99,2,48,1.3,0.2294019801839,0.0502594557132301,190,23.95,43.7,1048.8,t_motor_U8LiteKV190,t_motor_U8LiteKV190,12,6,"4,20","22,30",,10,26.95,0.243
7,14.5,87.1,10,Both,299.99,2,225,0.5,0.236843351079939,0.112344665711926,85,23.95,19.1,916.8,t_motor_U8LiteKV85,t_motor_U8LiteKV85,12,6,"4,20","24,30",,10,26.95,0.243
7,14.5,87.1,10,Both,329.9,2,105,0.9,0.267906991441151,0.0868117871410338,110,25.05,45.8,2140,t_motor_U8LiteLKV110,t_motor_U8LiteLKV110,12,6,"6,20","24,32",,10,28.05,0.282
7,14.5,87.1,10,Both,329.9,2,146,0.7,0.26307001456668,0.10051891142646,95,25.05,38,1790,t_motor_U8LiteLKV95,t_motor_U8LiteLKV95,12,6,"6,20","24,32",,10,28.05,0.28
5,9,28.3,6,UAV,28.95,1,44,1.2,0.0176390579010435,0.0037,2550,18,34,629,kde_direct_KDE2306XF_2550,kde_direct_KDE2306XF_2550,5,2,"3,5","5,8",,4,21.5,0.042
6,12,28.3,15,UAV,60.95,1,127,0.5,0.0303055307963809,0.0108,885,28.5,24,532,kde_direct_KDE2315XF_885,kde_direct_KDE2315XF_885,6,3,"3,5","9,12",,4,35.25,0.075
6,12,28.3,15,UAV,60.95,1,102,0.5,0.0309981024087149,0.0099,965,28.5,26,384,kde_direct_KDE2315XF_965,kde_direct_KDE2315XF_965,4,3,"3,5","9,12",,4,35.25,0.075
6,15,35.5,14,UAV,71.95,1,130,0.3,0.0513097681508337,0.0185,515,31.7,24,532,kde_direct_KDE2814XF_515,kde_direct_KDE2814XF_515,6,4,"3,6","12,16",,4,41.45,0.125
6,15,35.5,14,UAV,71.95,1,69,0.5,0.0468252997390532,0.0123,775,31.7,36,666,kde_direct_KDE2814XF_775,kde_direct_KDE2814XF_775,5,3,"3,6","12,16",,4,41.45,0.125
"6,8","17,17",42.2,10,UAV,92.95,1,105,0.2,0.062029946684761,0.0201,475,35,30,666,kde_direct_KDE3510XF_475,kde_direct_KDE3510XF_475,6,4,"4,6","12,16",,4,44.75,0.175
"6,8","17,17",42.2,10,UAV,92.95,1,54,0.5,0.0576644187101993,0.0134,715,35,45,832,kde_direct_KDE3510XF_715,kde_direct_KDE3510XF_715,5,3,"4,6","12,16",,4,44.75,0.175
"6,8","17,17",42.2,20,UAV,112.95,1,78,0.3,0.0855757274477122,0.0239,400,45,45,1332,kde_direct_KDE3520XF_400,kde_direct_KDE3520XF_400,8,4,"4,8","16,20",,4,54.25,0.245
"6,8","20,20",46.5,12,UAV,114.95,1,80,0.5,0.0844992603517924,0.0239,400,30,32,947,kde_direct_KDE4012XF_400,kde_direct_KDE4012XF_400,8,4,"4,8","16,20",,4,39.75,0.2
"6,8","20,20",46.5,14,UAV,118.95,1,75,0.5,0.0916522412891978,0.0251,380,32,36,1065,kde_direct_KDE4014XF_380,kde_direct_KDE4014XF_380,8,4,"4,8","16,22",,4,41.75,0.215
"6,8","20,20",48.2,13,UAV,133.95,1,81,0.4,0.0931115088827356,0.0265,360,34,38,1124,kde_direct_KDE4213XF_360,kde_direct_KDE4213XF_360,8,4,"4,8","16,22",,4,44,0.23
"5,6","24,28",29.4,8,UAV,18.99,3,88,0.74,0.0222004636019795,0.00658572178311291,1450,26,24,275,t_motor_AS2308KV1450,t_motor_AS2308KV1450,4,2,"5,7","7,10",12N14P,4,40.5,0.049
"5,6","24,28",29.4,8,UAV,18.99,3,30,1.62,0.0212049575162228,0.00367280637904374,2600,26,29,326,t_motor_AS2308KV2600,t_motor_AS2308KV2600,4,2,"3,6","4,8",12N14P,4,40.5,0.049
"5,6","24,28",29.4,12,UAV,19.99,3,81,0.76,0.0291763548431809,0.00830373616131628,1150,30,23,357,t_motor_AS2312KV1150,t_motor_AS2312KV1150,4,3,"5,7","7,10",12N14P,4,44.5,0.063
"5,6","24,28",29.4,12,UAV,19.99,3,50,1.05,0.0305041090035933,0.0068209261325098,1400,30,30,334,t_motor_AS2312KV1400,t_motor_AS2312KV1400,4,3,"5,7","7,9",12N14P,4,44.5,0.063
"5,6","24,28",29.4,17,UAV,21.95,3,50,1.7,0.0341646020840245,0.00763943726841098,1250,36,40,596,t_motor_AS2317KV1250,t_motor_AS2317KV1250,4,3,"5,7","8,11",12N14P,4,52,0.081
"5,6","24,28",29.4,17,UAV,21.95,3,35.2,1.68,0.0363556584414948,0.0068209261325098,1400,36,48,712,t_motor_AS2317KV1400,t_motor_AS2317KV1400,4,3,"5,7","8,10",12N14P,4,52,0.081
"5,6","24,28",29.4,17,UAV,21.95,3,80,0.74,0.0383657521089676,0.0108514733926292,880,36,26,394,t_motor_AS2317KV880,t_motor_AS2317KV880,4,3,"5,8","9,13",12N14P,4,52,0.081
6,30,36.2,14,UAV,33.99,3,34.6,1.35,0.0488927014188324,0.00909456817667973,1050,36,49,718,t_motor_AS2814KV1050,t_motor_AS2814KV1050,4,3,"4,7","9,14",12N14P,5,54.5,0.112
6,30,36.2,14,UAV,33.99,3,25.2,2.21,0.0501290951604515,0.00795774715459477,1200,36,61,885,t_motor_AS2814KV1200,t_motor_AS2814KV1200,4,3,"4,7","8,12",12N14P,5,54.5,0.112
6,30,36.2,14,UAV,33.99,3,11,4.5,0.04552448523949,0.00477464829275686,2000,36,42,441,t_motor_AS2814KV2000,t_motor_AS2814KV2000,3,2,"4,7","7,11",12N14P,5,54.5,0.116
6,30,36.2,14,UAV,33.99,3,43.5,1.35,0.0508726363083724,0.0106103295394597,900,36,37,553,t_motor_AS2814KV900,t_motor_AS2814KV900,4,3,"4,7","9,14",12N14P,5,54.5,0.11
