CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,304.8,7.62,apc_propellers_12x6SF,apc_propellers_12x6SF,152.4,PER3_12x6SF.dat,6.35,0.019005421
UAV,304.8,11.938,apc_propellers_12x7,apc_propellers_12x7,177.8,PER3_12x7.dat,6.35,0.04309105
UAV,304.8,14.224,apc_propellers_12x8,apc_propellers_12x8,203.2,PER3_12x8.dat,6.35,0.047899104
UAV,304.8,10.668,apc_propellers_12x8E,apc_propellers_12x8E,203.2,PER3_12x8E.dat,6.35,0.025990707
UAV,304.8,7.62,apc_propellers_12x8SF,apc_propellers_12x8SF,203.2,PER3_12x8SF.dat,6.35,0.019005421
UAV,304.8,13.462,apc_propellers_12x9,apc_propellers_12x9,228.6,PER3_12x9.dat,7.9375,0.043952871
UAV,304.8,13.97,apc_propellers_12x9W,apc_propellers_12x9W,228.6,PER3_12x9W.dat,7.9375,0.053024671
UAV,342.9,13.208,apc_propellers_13_5x10,apc_propellers_13_5x10,254,PER3_135x10.dat,7.9375,0.051028875
UAV,342.9,15.494,apc_propellers_13_5x13_5,apc_propellers_13_5x13_5,342.9,PER3_135x135.dat,7.9375,0.066904525
UAV,342.9,15.494,apc_propellers_13_5x14,apc_propellers_13_5x14,355.6,PER3_135x14.dat,7.9375,0.066904525
UAV,342.9,13.208,apc_propellers_13_5x9,apc_propellers_13_5x9,228.6,PER3_135x9.dat,7.9375,0.049033079
UAV,330.2,15.494,apc_propellers_13x10,apc_propellers_13x10,254,PER3_13x10.dat,7.9375,0.060100675
UAV,330.2,10.668,apc_propellers_13x10E,apc_propellers_13x10E,254,PER3_13x10E.dat,6.35,0.029982299
UAV,330.2,14.478,apc_propellers_13x11,apc_propellers_13x11,279.4,PER3_13x11.dat,7.9375,0.056970904
UAV,330.2,14.986,apc_propellers_13x13N,apc_propellers_13x13N,330.2,PER3_13x13N.dat,7.9375,0.053024671
UAV,330.2,14.732,apc_propellers_13x13_5N,apc_propellers_13x13_5N,342.9,PER3_13x135N.dat,7.9375,0.051890696
UAV,330.2,16.51,apc_propellers_13x14,apc_propellers_13x14,355.6,PER3_13x14.dat,7.9375,0.065997345
UAV,330.2,12.192,apc_propellers_13x4,apc_propellers_13x4,101.6,PER3_13x4.dat,6.35,0.0498949
UAV,330.2,10.16,apc_propellers_13x4E,apc_propellers_13x4E,101.6,PER3_13x4E.dat,6.35,0.029982299
UAV,330.2,11.684,apc_propellers_13x4W,apc_propellers_13x4W,101.6,PER3_13x4W.dat,6.35,0.0498949
UAV,330.2,9.144,apc_propellers_13x4_5MR,apc_propellers_13x4_5MR,114.3,PER3_13x45MR.dat,6.35,0.024085629
UAV,330.2,7.62,apc_propellers_13x4_7SF,apc_propellers_13x4_7SF,119.38,PER3_13x47SF.dat,6.35,0.022135192
UAV,330.2,10.16,apc_propellers_13x5_5E,apc_propellers_13x5_5E,139.7,PER3_13x55E.dat,6.35,0.031978095
UAV,330.2,9.144,apc_propellers_13x5_5MR,apc_propellers_13x5_5MR,139.7,PER3_13x55MR.dat,6.35,0.023994911
UAV,330.2,11.684,apc_propellers_13x6,apc_propellers_13x6,152.4,PER3_13x6.dat,6.35,0.047899104
UAV,330.2,10.414,apc_propellers_13x6_5E,apc_propellers_13x6_5E,165.1,PER3_13x65E.dat,6.35,0.029982299
