weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,omega_rpm,voltage,thrust,torque,power,current,max_omega_rpm,max_voltage,max_thrust,max_torque,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
0.45,0.6858,2100.0,700.0,723.62,12.5,8.95,3.29,440.06,35.2,772.5,13.68,4.05,3.75,547.18,40.0,19.88889,977.91113,0.020338135,U8 Lite L KV95,27x14_2_1400_51_40
0.457,0.6858,1800.0,600.0,635.94,9.0,7.57,2.58,290.42,32.27,781.9,11.92,3.34,3.9,574.53,48.21,16.564552,635.4924,0.026065698,U8 Lite L KV110,27x13_2_1200_41_30
0.457,0.6858,1800.0,600.0,687.83,10.0,8.86,3.02,375.64,37.56,781.9,11.92,3.38,3.9,574.53,48.21,19.387308,821.96936,0.023586413,U8 Lite L KV110,27x13_2_1200_41_30
0.504,0.6858,1800.0,600.0,627.22,9.0,7.76,2.65,297.56,33.06,761.69,11.73,5.79,3.9,565.68,48.21,15.396826,590.39685,0.026078774,U8 Lite L KV110,27x13_3_1200_41_30
0.504,0.6858,1800.0,600.0,678.1,10.0,9.07,3.09,384.51,38.45,761.69,11.73,5.82,3.9,565.68,48.21,17.99603,762.9167,0.023588464,U8 Lite L KV110,27x13_3_1200_41_30
0.59,0.6858,1800.0,600.0,625.53,9.0,7.33,2.5,257.45,28.61,685.38,10.13,2.47,3.0,345.36,34.11,12.423729,436.35593,0.028471548,U10II KV100,27x13_2_1200_41_30
0.975,0.6858,3000.0,1000.0,1037.57,20.0,21.38,5.47,759.93,38.0,1109.45,21.57,6.79,6.25,930.73,43.16,21.928205,779.4154,0.02813417,U12II KV60,27x10_2_2000_51_80
1.021,0.6858,3000.0,1000.0,1033.07,20.0,22.25,5.63,780.96,39.05,1088.9,21.22,9.7,6.25,915.95,43.16,21.79236,764.89716,0.028490575,U12II KV60,27x10_3_2000_51_80
1.068,0.6858,3000.0,1000.0,1030.87,20.0,22.82,5.71,791.25,39.56,1079.12,21.06,8.77,6.25,908.92,43.16,21.36704,740.8708,0.028840443,U12II KV60,27x10_4_2000_51_80
0.976,0.6858,2400.0,800.0,905.81,17.5,15.54,4.83,590.23,33.73,1031.46,20.27,10.21,6.25,874.64,43.16,15.922132,604.74384,0.02632872,U12II KV60,27x12_2_1600_51_50
1.023,0.6858,2400.0,800.0,900.67,17.5,16.16,5.01,611.31,34.93,1006.81,19.86,9.58,6.25,856.91,43.16,15.796677,597.566,0.026435032,U12II KV60,27x12_3_1600_51_50
0.978,0.6858,1800.0,600.0,663.0,12.5,8.23,2.81,254.4,20.35,991.35,19.6,5.5,6.25,845.79,43.16,8.4151325,260.1227,0.03235063,U12II KV60,27x13_2_1200_41_30
0.978,0.6858,1800.0,600.0,782.09,15.0,11.46,3.9,413.72,27.58,991.35,19.6,5.58,6.25,845.79,43.16,11.717792,423.02658,0.027699893,U12II KV60,27x13_2_1200_41_30
1.025,0.6858,1800.0,600.0,659.58,12.5,8.58,2.93,264.38,21.15,965.89,19.17,9.55,6.25,827.47,43.16,8.370731,257.9317,0.032453287,U12II KV60,27x13_3_1200_41_30
1.025,0.6858,1800.0,600.0,777.53,15.0,11.93,4.06,429.71,28.65,965.89,19.17,9.6,6.25,827.47,43.16,11.639025,419.22928,0.02776291,U12II KV60,27x13_3_1200_41_30
1.072,0.6858,1800.0,600.0,657.7,12.5,8.82,2.99,269.89,21.59,952.62,18.95,7.05,6.25,817.93,43.16,8.227612,251.76306,0.032679982,U12II KV60,27x13_4_1200_41_30
1.119,0.6858,1800.0,600.0,656.53,12.5,8.99,3.04,273.32,21.87,944.56,18.82,6.57,6.25,812.13,43.16,8.033958,244.2538,0.032891847,U12II KV60,27x13_5_1200_41_30
