Motor.Weight,Propeller.Weight,MaxPower.OmegaRpm,MaxPower.Voltage,MaxPower.Thrust,MaxPower.Torque,MaxPower.Power,MaxPower.Current,MaxPower.MaxPower,MaxPower.MaxCurrent,MaxAmps.OmegaRpm,MaxAmps.Voltage,MaxAmps.Thrust,MaxAmps.Torque,MaxAmps.Power,MaxAmps.Current,MaxAmps.MaxPower,MaxAmps.MaxCurrent,Combined.Weight,Combined.MaxOmegaRpm,Combined.MaxVoltage,Combined.MaxThrust,Combined.MaxTorque,Combined.MaxPower,Combined.MaxCurrent,Combined.MaxThrustPerWeight,Combined.MaxPowerPerWeight,Motor.Name,Propeller.Name
0.053,0.151,525.43,10.8,65.05,0.63,227.37,21.06,216.0,9.0,349.97,5.23,65.04,0.28,49.59,9.47,216.0,9.0,0.204,349.97,5.23,65.04,0.28,49.59,9.47,318.82352,243.08824,Antigravity MN4004 KV300,27x6_2_3400_51_150
0.053,0.201,502.21,10.75,71.73,0.63,227.37,21.14,216.0,9.0,333.78,5.18,71.72,0.28,49.08,9.47,216.0,9.0,0.254,333.78,5.18,71.72,0.28,49.08,9.47,282.3622,193.22835,Antigravity MN4004 KV300,27x6_3_3400_51_160
0.053,0.156,458.4,10.67,47.05,0.64,227.37,21.3,216.0,9.0,303.58,5.08,47.04,0.28,48.13,9.47,216.0,9.0,0.209,303.58,5.08,47.04,0.28,48.13,9.47,225.07178,230.28708,Antigravity MN4004 KV300,27x7_2_2800_51_120
0.053,0.207,434.43,10.63,52.86,0.64,227.37,21.39,216.0,9.0,287.13,5.03,52.85,0.28,47.61,9.47,216.0,9.0,0.26,287.13,5.03,52.85,0.28,47.61,9.47,203.26923,183.11539,Antigravity MN4004 KV300,27x7_3_2800_51_130
0.053,0.16,414.92,10.6,35.47,0.64,227.37,21.46,216.0,9.0,273.8,4.98,35.46,0.28,47.19,9.47,216.0,9.0,0.213,273.8,4.98,35.46,0.28,47.19,9.47,166.47887,221.5493,Antigravity MN4004 KV300,27x8_2_2400_51_100
0.053,0.206,409.27,10.59,36.91,0.64,227.37,21.48,216.0,9.0,269.91,4.97,36.89,0.28,47.06,9.47,216.0,9.0,0.259,269.91,4.97,36.89,0.28,47.06,9.47,142.43243,181.69884,Antigravity MN4004 KV300,27x8_3_2400_51_100
0.053,0.17,375.39,10.53,34.72,0.65,227.37,21.6,216.0,9.0,246.9,4.89,34.72,0.28,46.34,9.47,216.0,9.0,0.223,246.9,4.89,34.72,0.28,46.34,9.47,155.69507,207.80269,Antigravity MN4004 KV300,27x9_2_2200_51_90
0.053,0.216,369.05,10.52,36.32,0.65,227.37,21.62,216.0,9.0,242.55,4.88,36.31,0.28,46.2,9.47,216.0,9.0,0.269,242.55,4.88,36.31,0.28,46.2,9.47,134.98141,171.74721,Antigravity MN4004 KV300,27x9_3_2200_51_90
0.053,0.242,243.11,10.29,62.29,0.66,227.37,22.09,216.0,9.0,158.16,4.6,62.28,0.28,43.53,9.47,216.0,9.0,0.295,158.16,4.6,62.28,0.28,43.53,9.47,211.11864,147.55933,Antigravity MN4004 KV300,34x10_2_2000_51_170
0.053,0.256,216.5,10.25,59.11,0.66,227.37,22.19,216.0,9.0,140.54,4.54,59.11,0.28,42.98,9.47,216.0,9.0,0.309,140.54,4.54,59.11,0.28,42.98,9.47,191.2945,139.09386,Antigravity MN4004 KV300,34x11_2_1800_51_150
0.053,0.259,202.19,10.22,46.65,0.67,227.37,22.24,216.0,9.0,131.08,4.5,46.64,0.28,42.68,9.47,216.0,9.0,0.312,131.08,4.5,46.64,0.28,42.68,9.47,149.48718,136.79488,Antigravity MN4004 KV300,34x12_2_1600_51_130
0.053,0.27,187.28,10.2,38.15,0.67,227.37,22.3,216.0,9.0,121.26,4.47,38.15,0.28,42.37,9.47,216.0,9.0,0.323,121.26,4.47,38.15,0.28,42.37,9.47,118.11146,131.17647,Antigravity MN4004 KV300,34x14_2_1400_51_100
0.053,0.193,708.14,11.13,122.66,0.61,227.37,20.43,216.0,9.0,479.36,5.67,122.27,0.28,53.68,9.47,216.0,9.0,0.246,479.36,5.67,122.27,0.28,53.68,9.47,497.03253,218.21138,Antigravity MN4004 KV300,34x3_2_4600_41_250
0.053,0.202,574.54,10.88,182.54,0.63,227.37,20.89,216.0,9.0,385.81,5.35,182.27,0.28,50.72,9.47,216.0,9.0,0.255,385.81,5.35,182.27,0.28,50.72,9.47,714.7843,198.90196,Antigravity MN4004 KV300,34x4_2_4800_51_370
0.053,0.288,496.95,10.74,186.83,0.63,227.37,21.16,216.0,9.0,331.43,5.17,186.6,0.28,49.01,9.47,216.0,9.0,0.341,331.43,5.17,186.6,0.28,49.01,9.47,547.21405,143.72433,Antigravity MN4004 KV300,34x4_3_4400_51_370
0.053,0.209,473.64,10.7,166.33,0.64,227.37,21.25,216.0,9.0,314.34,5.12,166.13,0.28,48.47,9.47,216.0,9.0,0.262,314.34,5.12,166.13,0.28,48.47,9.47,634.084,185.0,Antigravity MN4004 KV300,34x5_2_4200_51_340
0.053,0.291,455.86,10.67,181.02,0.64,227.37,21.31,216.0,9.0,302.13,5.08,180.83,0.28,48.08,9.47,216.0,9.0,0.344,302.13,5.08,180.83,0.28,48.08,9.47,525.6686,139.76744,Antigravity MN4004 KV300,34x5_3_4200_51_360
0.053,0.22,375.43,10.53,137.05,0.65,227.37,21.6,216.0,9.0,247.04,4.89,136.99,0.28,46.34,9.47,216.0,9.0,0.273,247.04,4.89,136.99,0.28,46.34,9.47,501.79486,169.74359,Antigravity MN4004 KV300,34x6_2_3400_51_290
0.053,0.231,307.99,10.41,110.1,0.65,227.37,21.85,216.0,9.0,201.49,4.74,110.08,0.28,44.9,9.47,216.0,9.0,0.284,201.49,4.74,110.08,0.28,44.9,9.47,387.60562,158.09859,Antigravity MN4004 KV300,34x7_2_2800_51_250
0.053,0.236,275.37,10.35,85.87,0.66,227.37,21.97,216.0,9.0,179.65,4.67,85.86,0.28,44.21,9.47,216.0,9.0,0.289,179.65,4.67,85.86,0.28,44.21,9.47,297.0934,152.97578,Antigravity MN4004 KV300,34x8_2_2400_51_210
0.053,0.239,259.11,10.32,73.97,0.66,227.37,22.03,216.0,9.0,168.81,4.63,73.96,0.28,43.87,9.47,216.0,9.0,0.292,168.81,4.63,73.96,0.28,43.87,9.47,253.28767,150.23973,Antigravity MN4004 KV300,34x9_2_2200_51_190
0.053,0.35,173.8,10.17,127.29,0.67,227.37,22.35,216.0,9.0,112.68,4.44,127.29,0.28,42.1,9.47,216.0,9.0,0.403,112.68,4.44,127.29,0.28,42.1,9.47,315.85608,104.4665,Antigravity MN4004 KV300,41x10_2_2000_51_310
0.053,0.3,437.68,10.64,278.66,0.64,227.37,21.37,216.0,9.0,290.33,5.04,277.87,0.28,47.71,9.47,216.0,9.0,0.353,290.33,5.04,277.87,0.28,47.71,9.47,787.1671,135.1558,Antigravity MN4004 KV300,41x4_2_4600_51_580
0.053,0.306,381.99,10.54,273.43,0.65,227.37,21.58,216.0,9.0,252.16,4.91,272.94,0.28,46.5,9.47,216.0,9.0,0.359,252.16,4.91,272.94,0.28,46.5,9.47,760.27856,129.52646,Antigravity MN4004 KV300,41x5_2_4200_51_560
0.053,0.319,289.53,10.38,244.25,0.66,227.37,21.91,216.0,9.0,189.72,4.7,244.07,0.28,44.53,9.47,216.0,9.0,0.372,189.72,4.7,244.07,0.28,44.53,9.47,656.1022,119.7043,Antigravity MN4004 KV300,41x6_2_3400_51_500
0.053,0.331,233.15,10.28,202.58,0.66,227.37,22.12,216.0,9.0,152.04,4.57,202.52,0.28,43.34,9.47,216.0,9.0,0.384,152.04,4.57,202.52,0.28,43.34,9.47,527.3958,112.864586,Antigravity MN4004 KV300,41x7_2_2800_51_430
0.053,0.342,199.24,10.22,169.69,0.67,227.37,22.25,216.0,9.0,129.56,4.5,169.66,0.28,42.63,9.47,216.0,9.0,0.395,129.56,4.5,169.66,0.28,42.63,9.47,429.51898,107.92405,Antigravity MN4004 KV300,41x8_2_2400_51_380
0.053,0.347,184.87,10.19,150.37,0.67,227.37,22.3,216.0,9.0,120.04,4.47,150.35,0.28,42.33,9.47,216.0,9.0,0.4,120.04,4.47,150.35,0.28,42.33,9.47,375.875,105.825,Antigravity MN4004 KV300,41x9_2_2200_51_350
0.053,0.432,357.85,10.5,317.72,0.65,227.37,21.66,216.0,9.0,236.15,4.86,316.77,0.28,46.0,9.47,216.0,9.0,0.485,236.15,4.86,316.77,0.28,46.0,9.47,653.13403,94.84536,Antigravity MN4004 KV300,48x4_2_4000_46_670
0.053,0.44,305.07,10.4,385.33,0.65,227.37,21.86,216.0,9.0,201.18,4.74,384.32,0.28,44.89,9.47,216.0,9.0,0.493,201.18,4.74,384.32,0.28,44.89,9.47,779.5538,91.05476,Antigravity MN4004 KV300,48x5_2_4000_51_810
0.053,0.452,247.58,10.3,372.66,0.66,227.37,22.07,216.0,9.0,163.44,4.61,372.25,0.28,43.7,9.47,216.0,9.0,0.505,163.44,4.61,372.25,0.28,43.7,9.47,737.1287,86.53465,Antigravity MN4004 KV300,48x6_2_3400_51_760
0.053,0.466,193.52,10.21,328.24,0.67,227.37,22.27,216.0,9.0,127.39,4.49,328.2,0.28,42.56,9.47,216.0,9.0,0.519,127.39,4.49,328.2,0.28,42.56,9.47,632.36993,82.00385,Antigravity MN4004 KV300,48x7_2_2800_51_670
0.053,0.478,157.58,10.15,282.78,0.67,227.37,22.41,216.0,9.0,103.14,4.41,282.71,0.28,41.8,9.47,216.0,9.0,0.531,103.14,4.41,282.71,0.28,41.8,9.47,532.4105,78.7194,Antigravity MN4004 KV300,48x8_2_2400_51_600
0.053,0.485,143.86,10.12,256.99,0.67,227.37,22.46,216.0,9.0,94.08,4.38,256.96,0.28,41.51,9.47,216.0,9.0,0.538,94.08,4.38,256.96,0.28,41.51,9.47,477.62082,77.156136,Antigravity MN4004 KV300,48x9_2_2200_51_560
