Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,U13II KV65,T-Motor,379.9,0,10,57,100,20,60,14.5,7,975,87266.80952,160.810274,87105.56506,0.43418774,65,0.146912255,0.543746651,68,6720,,,73,1.7,36S42P,,,,,,22,25,"26,34","8,30",2,U13II KV65.jpg,https://store.tmotor.com/goods.php?id=1069 ,para_motor.prt,,U13 II.jpg,
Motor,D,U15II KV80,T-Motor,689.9,0,12,55,147.5,18,83,0,12,1740,412762.2878,461.2810546,412300.616,0.390768966,80,0.119366207,0.915497019,143,8580,,,17,3.8,36S42P,,,,,,12,24,"26,42","8,30",2,U15II KV80.jpg,https://store.tmotor.com/goods.php?id=731 ,para_motor.prt,,U15II.jpg,
Motor,D,U15II KV100,T-Motor,689.9,0,12,55,147.5,18,83,0,12,1740,412762.2878,461.2810546,412300.616,0.390768966,100,0.095492966,0.871727525,150,9942,,,12,4.5,36S42P,,,,,,12,24,"26,42","8,30",2,U15II KV100.jpg,https://store.tmotor.com/goods.php?id=732 ,para_motor.prt,,U15II.jpg,
Motor,D,U8 Lite KV85,T-Motor,299.99,0,10,23.95,87.1,10,26.95,14.5,7,243,50204.85074,72.23061472,50132.40303,0.21709387,85,0.112344666,0.236843351,19.1,916.8,,,225,0.5,36S42P,,,,,,6,12,"24,30","4,20",2,U8 Lite KV85.jpg,https://store.tmotor.com/goods.php?id=462 ,para_motor.prt,,U8 Lite.jpg,
Motor,D,U8 Lite KV100,T-Motor,299.99,0,10,23.95,87.1,10,26.95,14.5,7,238,50204.85074,72.23061472,50132.40303,0.21709387,100,0.095492966,0.231604462,29.3,1406,,,170,0.7,36S42P,,,,,,6,12,"22,30","4,20",2,U8 Lite KV100.jpg,https://store.tmotor.com/goods.php?id=463,para_motor.prt,,U8 Lite.jpg,
Motor,D,U8 Lite KV150,T-Motor,299.99,0,10,23.95,87.1,10,26.95,14.5,7,239,50204.85074,72.23061472,50132.40303,0.21709387,150,0.063661977,0.21835878,29.7,1272,,,85,1,36S42P,,,,,,6,12,"22,30","4,20",2,U8 Lite KV150.jpg,https://store.tmotor.com/goods.php?id=464,para_motor.prt,,U8 Lite.jpg,
Motor,D,U8 Lite KV190,T-Motor,299.99,0,10,23.95,87.1,10,26.95,14.5,7,243,50204.85074,72.23061472,50132.40303,0.21709387,190,0.050259456,0.22940198,43.7,1048.8,,,48,1.3,36S42P,,,,,,6,12,"22,30","4,20",2,U8 Lite KV190.jpg,https://store.tmotor.com/goods.php?id=465,para_motor.prt,,U8 Lite.jpg,
Motor,D,U8 Lite L KV95,T-Motor,329.9,0,10,25.05,87.1,10,28.05,14.5,7,280,50207.79893,75.17880307,50132.40303,0.21709387,95,0.100518911,0.263070015,38,1790,,,146,0.7,36S42P,,,,,,6,12,"24,32","6,20",2,U8 Lite L KV95.jpg,https://store.tmotor.com/goods.php?id=1081 ,para_motor.prt,,U8 Lite L.jpg,
Motor,D,U8 Lite L KV110,T-Motor,329.9,0,10,25.05,87.1,10,28.05,14.5,7,282,50207.79893,75.17880307,50132.40303,0.21709387,110,0.086811787,0.267906991,45.8,2140,,,105,0.9,36S42P,,,,,,6,12,"24,32","6,20",2,U8 Lite L KV110.jpg,https://store.tmotor.com/goods.php?id=1082,para_motor.prt,,U8 Lite L.jpg,
Motor,D,U8II KV85,T-Motor,309.99,0,10,26.1,87.1,10,29.1,14.5,7,277,50210.6131,77.99298287,50132.40303,0.21709387,85,0.112344666,0.236843351,19.1,916.8,,,225,0.5,36S42P,,,,,,6,12,"24,32","6,20",2,U8II KV85.jpg,https://store.tmotor.com/goods.php?id=476 ,para_motor.prt,,U8II.jpg,
Motor,D,U8II KV100,T-Motor,309.99,0,10,26.1,87.1,10,29.1,14.5,7,272,50210.6131,77.99298287,50132.40303,0.21709387,100,0.095492966,0.231604462,29.3,1406,,,170,0.7,36S42P,,,,,,6,12,"24,32","6,20",2,U8II KV100.jpg,https://store.tmotor.com/goods.php?id=477,para_motor.prt,,U8II.jpg,
Motor,D,U8II KV150,T-Motor,309.99,0,10,26.1,87.1,10,29.1,14.5,7,273,50210.6131,77.99298287,50132.40303,0.21709387,150,0.063661977,0.21835878,29.7,1272,,,85,1,36S42P,,,,,,6,12,"24,32","6,20",2,U8II KV150.jpg,https://store.tmotor.com/goods.php?id=478,para_motor.prt,,U8II.jpg,
