Category,Style,Name,Manufacturer,Cost ($),(A) Length [mm],(B) Width [mm],(C) Thickness [mm],Volume [mm^3],Weight [kg],Density [kg/mm^3],Min Voltage [V],Max Voltage [V],Power [Wh],Power Density [Wh/kg],Number of Series Cells,Chemistry Type,Capacity [Ah],Capacity Density [Ah/kg],Peak Discharge Rate [C],Cont. Discharge Rate [C],Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Battery,P,Eagle 100 Ah Li,Eagle Pitcher,,508,273,273,37860732,35,9.24441E-07,33.3,832.5,3330,95.14285714,9,LiIon,100,2.857142857,3.3,1,,https://www.eaglepicher.com/sites/default/files/SAR-10199%20%200319.pdf ,,,Eagle 100 Ah Li.jpg,LiIon
Battery,P,Eagle 112 Ah Li,Eagle Pitcher,,368,299,254,27948128,28.2,1.00901E-06,29.6,828.8,3315.2,117.5602837,8,LiIon,112,3.971631206,1.5,0.72,,https://www.eaglepicher.com/sites/default/files/SAR-10207%20030220.pdf ,,,Eagle 112 Ah Li.jpg,LiIon
Battery,P,Eagle 11 Ah Li,Eagle Pitcher,,221,194.6,17.8,765517.48,1.18,1.54144E-06,14.4,806.4,158.4,134.2372881,4,LiIon,11,9.322033898,1.2,0.46,,https://www.eaglepicher.com/sites/default/files/SLB-101%20061419.pdf ,,,Eagle 11 Ah Li.jpg,LiIon
Battery,P,Eagle 50Ah Li,Eagle Pitcher,,320,211,191,12896320,17.24,1.33682E-06,25.2,806.4,1260,73.08584687,7,LiIon,50,2.900232019,2,1.32,,https://www.eaglepicher.com/sites/default/files/LP33333.pdf,,,Eagle 50Ah Li.jpg,LiIon
Battery,P,Eagle 031 Ah Ag,Eagle Pitcher,,76.2,81.3,106.7,661012.902,1.81,2.73822E-06,28,812,8.68,4.79558011,18,AgZn,0.31,0.171270718,2,1,,https://www.eaglepicher.com/sites/default/files/4156.PDF ,,,Eagle 031 Ah Ag.jpg,AgZn
Battery,P,Eagle 4 Ah Ag,Eagle Pitcher,,254,236.2,109.2,6551432.16,11.16,1.70344E-06,33,825,140.58,12.59677419,22,AgZn,4.26,0.38172043,32,16.4,,https://www.eaglepicher.com/sites/default/files/43259.PDF ,,,Eagle 4 Ah Ag.jpg,AgZn
Battery,P,Eagle 7 Ah Ag,Eagle Pitcher,,152.4,152.4,102.4,2378317.824,4.17,1.75334E-06,28,812,210,50.35971223,18,AgZn,7.5,1.798561151,1,0.47,,https://www.eaglepicher.com/sites/default/files/4425.PDF ,,,Eagle 7 Ah Ag.jpg,AgZn
Battery,P,Eagle 043 Ah Ag,Eagle Pitcher,,117.8,76.2,88.9,797998.404,1.7,2.13033E-06,28,812,12.04,7.082352941,18,AgZn,0.43,0.252941176,24,12,,https://www.eaglepicher.com/sites/default/files/4438.PDF ,,,Eagle 043 Ah Ag.jpg,AgZn
Battery,P,Eagle 022 Ah Ag,Eagle Pitcher,,147.3,53.8,57.2,453295.128,1,2.20607E-06,28,812,6.16,6.16,18,AgZn,0.22,0.22,20,10.3,,https://www.eaglepicher.com/sites/default/files/433121.PDF ,,,Eagle 022 Ah Ag.jpg,AgZn
Battery,P,Eagle 19 Ah Ag,Eagle Pitcher,,304.8,177.8,88.9,4817796.816,9.3,1.93034E-06,28,812,532,57.20430108,18,AgZn,19,2.043010753,3,1.58,,https://www.eaglepicher.com/sites/default/files/4445.PDF ,,,Eagle 19 Ah Ag.jpg,AgZn
Battery,P,Eagle 50 Ah Ag,Eagle Pitcher,,317.5,247.7,174.8,13747102.3,24.5,1.78219E-06,33,825,1650,67.34693878,22,AgZn,50,2.040816327,1,0.54,,https://www.eaglepicher.com/sites/default/files/44823.PDF ,,,Eagle 50 Ah Ag.jpg,AgZn
Battery,P,Eagle 250 Ah Ag,Eagle Pitcher,,337.3,292.9,250,24698792.5,59,2.38878E-06,28,812,7000,118.6440678,18,AgZn,250,4.237288136,0.8,0.36,,https://www.eaglepicher.com/sites/default/files/45705.PDF ,,,Eagle 250 Ah Ag.jpg,AgZn
Battery,P,GS 25 Ah Li,GSYUASA,,617,219,128,17295744,27,1.56108E-06,44.4,843.6,1110,41.11111111,12,LiIon,25,0.925925926,48,24,,https://www.gsyuasa-lp.com/SpecSheets/GS_Yuasa_LIM25_Battery_Spec_Sheet.pdf ,,,GS 25 Ah Li.jpg,LiIon
Battery,P,GS 50 Ah Li,GSYUASA,,617,219,128,17295744,27,1.56108E-06,44.4,843.6,2220,82.22222222,12,LiIon,50,1.851851852,6,1,,https://www.gsyuasa-lp.com/SpecSheets/LIM50EN_Data_Sheet.pdf ,,,GS 50 Ah Li.jpg,LiIon
Battery,P,Saft 18 Ah Li,Saft,,308,180,90,4989600,5,1.00208E-06,29.6,828.8,532.8,106.56,8,LiIon,18,3.6,2,1,,https://www.saftbatteries.com/products-solutions/products/saft-solution-leo-and-small-geo-applications?text=&tech=&market=331&brand=&sort=newest&submit=Search,,,Saft 18 Ah Li.jpg,LiIon
Battery,P,Saft 72 Ah Li,Saft,,440,397,170,29695600,28.8,9.69841E-07,40.7,814,2930.4,101.75,11,LiIon,72,2.5,2,1,,https://www.saftbatteries.com/products-solutions/products/saft-solution-leo-and-small-geo-applications?text=&tech=&market=331&brand=&sort=newest&submit=Search,,,Saft 72 Ah Li.jpg,LiIon
Battery,P,Vitaly Beta,Vitaly,,50,50,35,87500,0.004,4.57143E-08,11.1,810.3,11.1,2775,10,Nuclear,1,250,0.1,0.01,,https://www.sciencedirect.com/science/article/abs/pii/S0925963517307495/ ,,,Vitaly Beta.jpg,Experimental atomic battery 
