weight,propeller_diameter,voltage,thrust,power,current,thrust_at40,power_at40,current_at40,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
3.548,1.9304,3.0,27.82,112.56,37.52,220.26,577.99,192.66,7.26,104.68,1147.03,157.89,7.8410373,31.724915,0.24715707,KDE13218XF-105,76x7_2_2600_51_2000
3.548,1.9304,4.0,46.0,240.63,60.16,-11.98,784.64,196.16,7.26,964.89,1147.03,157.89,12.965051,67.821304,0.19116487,KDE13218XF-105,76x7_2_2600_51_2000
3.548,1.9304,5.0,67.14,433.26,86.65,-11.72,1212.17,242.43,7.26,964.89,1147.03,157.89,18.923338,122.11387,0.15496469,KDE13218XF-105,76x7_2_2600_51_2000
3.548,1.9304,6.0,90.73,698.32,116.39,-130.77,-2074.19,-345.7,7.26,104.68,1147.03,157.89,25.572153,196.82074,0.12992612,KDE13218XF-105,76x7_2_2600_51_2000
3.548,1.9304,7.0,116.38,1042.19,148.88,-109.67,-1985.32,-283.62,7.26,104.68,1147.03,157.89,32.80158,293.74014,0.1116687,KDE13218XF-105,76x7_2_2600_51_2000
3.559,1.9304,2.0,14.61,49.85,24.93,179.66,248.14,124.07,6.45,102.24,1019.13,157.89,4.105086,14.006743,0.29307923,KDE13218XF-105,76x8_2_2400_51_2000
3.559,1.9304,2.5,21.73,88.66,35.46,813.26,344.49,137.8,6.45,102.24,1019.13,157.89,6.1056476,24.911491,0.24509361,KDE13218XF-105,76x8_2_2400_51_2000
3.559,1.9304,3.0,29.83,142.32,47.44,-126495.92,12.55,4.18,6.45,970.65,1019.13,157.89,8.381568,39.98876,0.2095981,KDE13218XF-105,76x8_2_2400_51_2000
3.559,1.9304,5.0,69.84,532.55,106.51,3335.17,312.94,62.59,6.45,970.65,1019.13,157.89,19.62349,149.63474,0.13114262,KDE13218XF-105,76x8_2_2400_51_2000
3.559,1.9304,6.0,93.39,847.3,141.22,-100.88,-1729.01,-288.17,6.45,102.24,1019.13,157.89,26.240517,238.0725,0.1102207,KDE13218XF-105,76x8_2_2400_51_2000
3.572,1.9304,1.5,9.72,29.02,19.35,43.05,75.86,50.57,5.85,972.2,923.52,157.89,2.7211647,8.1243,0.33494142,KDE13218XF-105,76x9_2_2200_51_1980
3.572,1.9304,4.0,51.72,355.26,88.81,105.69,672.94,168.23,5.85,972.2,923.52,157.89,14.479283,99.45689,0.14558351,KDE13218XF-105,76x9_2_2200_51_1980
3.935,2.1082,1.5,11.16,34.48,22.98,1114.69,38.32,25.55,5.35,991.1,844.52,157.89,2.8360865,8.762389,0.3236659,KDE13218XF-105,83x10_2_2000_51_2000
3.935,2.1082,3.0,35.86,199.79,66.6,510.24,220.39,73.46,5.35,991.1,844.52,157.89,9.113088,50.772552,0.17948847,KDE13218XF-105,83x10_2_2000_51_2000
4.858,2.1082,1.0,7.33,22.7,22.7,0.01,45.35,45.35,3.98,666.84,628.68,157.89,1.5088514,4.6727047,0.32290748,KDE13218XF-105,83x13_3_1200_41_1350
3.999,2.1082,1.0,6.97,23.27,23.27,23.04,66.23,66.23,3.93,117.09,621.01,157.89,1.7429358,5.818955,0.2995273,KDE13218XF-105,83x14_2_1400_51_1860
3.913,2.1082,2.0,15.15,44.25,22.13,174.38,282.67,141.34,6.85,78.99,1082.07,157.89,3.8717096,11.308459,0.3423729,KDE13218XF-105,83x7_2_2200_41_1710
3.913,2.1082,2.5,22.68,78.77,31.51,303.44,434.1,173.64,6.85,78.99,1082.07,157.89,5.7960644,20.130335,0.28792688,KDE13218XF-105,83x7_2_2200_41_1710
3.913,2.1082,3.0,31.31,126.79,42.26,647.96,606.19,202.06,6.85,78.99,1082.07,157.89,8.0015335,32.40225,0.24694377,KDE13218XF-105,83x7_2_2200_41_1710
3.913,2.1082,4.0,51.38,269.13,67.28,-166.26,-856.12,-214.03,6.85,78.99,1082.07,157.89,13.13059,68.77843,0.19091146,KDE13218XF-105,83x7_2_2200_41_1710
3.913,2.1082,5.0,74.58,481.0,96.2,8473.88,42.17,8.43,6.85,815.56,1082.07,157.89,19.059546,122.92359,0.15505198,KDE13218XF-105,83x7_2_2200_41_1710
3.913,2.1082,6.0,100.35,769.98,128.33,-123.67,-2028.94,-338.16,6.85,78.99,1082.07,157.89,25.645285,196.77486,0.13032806,KDE13218XF-105,83x7_2_2200_41_1710
3.923,2.1082,2.0,17.08,52.0,26.0,98.74,211.21,105.6,6.27,111.68,989.4,157.89,4.353811,13.255162,0.32846153,KDE13218XF-105,83x8_2_2200_46_2000
3.923,2.1082,2.5,25.31,92.62,37.05,130.93,328.0,131.2,6.27,111.68,989.4,157.89,6.451695,23.609482,0.27326712,KDE13218XF-105,83x8_2_2200_46_2000
3.923,2.1082,3.0,34.64,148.8,49.6,166.74,469.62,156.54,6.27,111.68,989.4,157.89,8.829977,37.930157,0.2327957,KDE13218XF-105,83x8_2_2200_46_2000
3.923,2.1082,4.0,55.98,313.87,78.47,-17.66,935.18,233.79,6.27,968.15,989.4,157.89,14.269691,80.007645,0.1783541,KDE13218XF-105,83x8_2_2200_46_2000
3.923,2.1082,5.0,80.21,557.23,111.45,375.37,1262.2,252.44,6.27,111.68,989.4,157.89,20.446087,142.04181,0.14394416,KDE13218XF-105,83x8_2_2200_46_2000
3.923,2.1082,6.0,106.73,886.48,147.75,6282.48,1222.36,203.73,6.27,1114.0,989.4,157.89,27.20622,225.96992,0.12039753,KDE13218XF-105,83x8_2_2200_46_2000
