        90x34_4_400_36_460                                 (90x34_4_400_36_460.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        80.5        2.36      0.8515      0.3097      0.8591      26.110    4113.827     103.525  
        85.0        2.49      0.8662      0.2808      0.8085      24.567    3870.431      93.880  
        89.5        2.62      0.8790      0.2514      0.7507      22.811    3594.288      84.034  
        94.0        2.76      0.8894      0.2213      0.6856      20.826    3282.742      73.962  
        98.4        2.89      0.8970      0.1905      0.6131      18.627    2935.792      63.666  
       102.9        3.02      0.9004      0.1590      0.5331      16.200    2552.555      53.145  
       107.4        3.15      0.8970      0.1268      0.4453      13.531    2132.145      42.399  
       111.8        3.28      0.8809      0.0939      0.3498      10.629    1674.561      31.383  



         PROP RPM =       440

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3492      0.7033      28.443    4073.998     141.247  
         4.5        0.12      0.0600      0.3558      0.7069      28.591    4096.125     143.900  
         8.9        0.24      0.1214      0.3639      0.7151      28.926    4143.034     147.182  
        13.4        0.36      0.1836      0.3737      0.7285      29.462    4220.921     151.139  
        17.9        0.48      0.2456      0.3850      0.7482      30.267    4335.095     155.725  
        22.4        0.60      0.3062      0.3977      0.7750      31.340    4489.983     160.873  
        26.8        0.72      0.3662      0.4120      0.8050      32.560    4663.458     166.583  
        31.3        0.84      0.4242      0.4252      0.8374      33.861    4851.094     172.024  
        35.8        0.95      0.4788      0.4372      0.8711      35.229    5046.695     176.767  
        40.3        1.07      0.5293      0.4461      0.9047      36.596    5241.412     180.387  
        44.7        1.19      0.5796      0.4531      0.9328      37.723    5404.266     183.287  
        49.2        1.31      0.6209      0.4542      0.9598      38.823    5560.039     183.669  
        53.7        1.43      0.6580      0.4511      0.9815      39.694    5685.719     182.433  
        58.2        1.55      0.6942      0.4446      0.9932      40.164    5753.870     179.802  
        62.6        1.67      0.7263      0.4337      0.9975      40.338    5778.652     175.441  
        67.1        1.79      0.7543      0.4186      0.9933      40.177    5753.870     169.349  
        71.6        1.91      0.7795      0.4004      0.9803      39.654    5679.524     161.907  
        76.1        2.03      0.8043      0.3801      0.9585      38.769    5552.958     153.724  
        80.5        2.15      0.8239      0.3562      0.9284      37.549    5378.598     144.058  
        85.0        2.27      0.8400      0.3309      0.8928      36.114    5172.376     133.806  
        89.5        2.39      0.8547      0.3051      0.8516      34.437    4933.406     123.375  
        94.0        2.51      0.8679      0.2787      0.8046      32.547    4661.688     112.742  
        98.4        2.62      0.8795      0.2519      0.7518      30.401    4355.452     101.883  
       102.9        2.74      0.8892      0.2245      0.6928      28.027    4013.813      90.800  
       107.4        2.86      0.8967      0.1966      0.6278      25.386    3636.772      79.515  
       111.8        2.98      0.9010      0.1681      0.5564      22.502    3224.327      67.982  



         PROP RPM =       480

