        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        53.7        0.68      0.6273      0.2813      0.3071      66.716    3504.010     292.252  
        58.2        0.74      0.6629      0.2748      0.3074      66.810    3508.436     285.507  
        62.6        0.80      0.6955      0.2671      0.3067      66.662    3501.355     277.639  
        67.1        0.86      0.7253      0.2584      0.3049      66.246    3479.228     268.422  
        71.6        0.91      0.7545      0.2487      0.3010      65.415    3435.860     258.530  
        76.1        0.97      0.7788      0.2377      0.2961      64.342    3379.215     247.065  
        80.5        1.03      0.8022      0.2260      0.2893      62.867    3302.213     234.925  
        85.0        1.08      0.8222      0.2131      0.2810      61.057    3207.510     221.504  
        89.5        1.14      0.8427      0.1999      0.2707      58.817    3088.910     207.724  
        94.0        1.20      0.8582      0.1853      0.2587      56.229    2953.494     192.639  
        98.4        1.26      0.8722      0.1706      0.2455      53.346    2802.146     177.284  
       102.9        1.31      0.8847      0.1556      0.2307      50.154    2633.982     161.683  
       107.4        1.37      0.8956      0.1403      0.2145      46.627    2449.001     145.834  
       111.8        1.43      0.9048      0.1248      0.1968      42.765    2246.319     129.760  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2922      0.2720      78.678    3756.257     367.338  
         4.5        0.05      0.0552      0.2939      0.2760      79.844    3812.016     369.586  
         8.9        0.10      0.1101      0.2957      0.2787      80.622    3850.075     371.834  
        13.4        0.16      0.1648      0.2975      0.2809      81.266    3880.167     374.082  
        17.9        0.21      0.2167      0.2985      0.2858      82.674    3947.433     375.431  
        22.4        0.26      0.2695      0.2993      0.2881      83.318    3978.410     376.330  
        26.8        0.31      0.3212      0.2998      0.2905      84.028    4012.043     377.005  
        31.3        0.36      0.3714      0.2999      0.2932      84.793    4048.331     377.005  
        35.8        0.41      0.4159      0.2986      0.2980      86.174    4114.712     375.431  
        40.3        0.47      0.4619      0.2971      0.3003      86.858    4147.460     373.633  
        44.7        0.52      0.5055      0.2950      0.3027      87.542    4180.207     370.935  
        49.2        0.57      0.5467      0.2921      0.3049      88.172    4210.300     367.338  
        53.7        0.62      0.5852      0.2883      0.3067      88.695    4235.082     362.617  
        58.2        0.67      0.6211      0.2837      0.3079      89.071    4252.783     356.772  
        62.6        0.73      0.6511      0.2776      0.3096      89.540    4275.795     349.128  
        67.1        0.78      0.6850      0.2715      0.3083      89.178    4258.094     341.485  
        71.6        0.83      0.7133      0.2639      0.3071      88.816    4240.392     331.818  
        76.1        0.88      0.7392      0.2554      0.3046      88.118    4207.645     321.252  
        80.5        0.93      0.7629      0.2460      0.3010      87.072    4157.195     309.337  
        85.0        0.99      0.7845      0.2357      0.2961      85.638    4089.045     296.298  
        89.5        1.04      0.8060      0.2249      0.2894      83.720    3997.882     282.810  
        94.0        1.09      0.8239      0.2131      0.2816      81.467    3889.903     267.972  
        98.4        1.14      0.8428      0.2010      0.2721      78.718    3758.027     252.685  
       102.9        1.19      0.8570      0.1877      0.2613      75.593    3609.334     236.049  
       107.4        1.24      0.8700      0.1743      0.2494      72.133    3443.825     219.166  
       111.8        1.30      0.8817      0.1606      0.2362      68.325    3262.385     201.991  



         PROP RPM =       1440

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2922      0.2716     102.025    4465.201     437.254  
         4.5        0.05      0.0507      0.2938      0.2754     103.406    4525.386     439.726  
         8.9        0.10      0.1012      0.2956      0.2779     104.331    4566.985     442.424  
        13.4        0.14      0.1502      0.2971      0.2822     105.967    4637.791     444.672  
        17.9        0.19      0.1997      0.2985      0.2842     106.732    4671.424     446.695  
        22.4        0.24      0.2489      0.2998      0.2864     107.523    4705.942     448.494  
        26.8        0.29      0.2942      0.3001      0.2910     109.266    4782.943     449.168  
        31.3        0.33      0.3410      0.3004      0.2931     110.071    4817.461     449.618  
        35.8        0.38      0.3866      0.3003      0.2955     110.956    4856.404     449.393  
        40.3        0.43      0.4267      0.2991      0.3000     112.646    4929.866     447.595  
        44.7        0.48      0.4687      0.2977      0.3021     113.423    4964.383     445.571  
        49.2        0.52      0.5087      0.2958      0.3042     114.215    4998.901     442.649  
        53.7        0.57      0.5466      0.2933      0.3061     114.966    5031.649     438.827  
        58.2        0.62      0.5786      0.2894      0.3092     116.106    5081.213     433.207  
        62.6        0.67      0.6123      0.2853      0.3101     116.481    5098.030     426.912  
        67.1        0.71      0.6437      0.2804      0.3107     116.669    5105.995     419.718  
        71.6        0.76      0.6729      0.2747      0.3106     116.629    5104.225     411.176  
        76.1        0.81      0.7000      0.2682      0.3098     116.307    5090.064     401.509  
        80.5        0.86      0.7251      0.2609      0.3079     115.650    5061.742     390.493  
