        83x15_5_1000_41_1270                                 (83x15_5_1000_41_1270.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        49.2        0.57      0.5464      0.2844      0.2962     124.889    7155.828     519.983  
        53.7        0.62      0.5849      0.2809      0.2982     125.707    7201.852     513.689  
        58.2        0.67      0.6173      0.2761      0.3009     126.820    7265.577     504.696  
        62.6        0.72      0.6508      0.2708      0.3014     127.048    7279.739     495.029  
        67.1        0.78      0.6848      0.2649      0.3004     126.606    7254.071     484.463  
        71.6        0.83      0.7130      0.2577      0.2993     126.177    7229.289     471.200  
        76.1        0.88      0.7389      0.2496      0.2972     125.265    7177.070     456.362  
        80.5        0.93      0.7626      0.2405      0.2938     123.857    7096.528     439.726  
        85.0        0.98      0.7842      0.2306      0.2892     121.899    6985.009     421.742  
        89.5        1.03      0.8057      0.2203      0.2829     119.257    6832.776     402.633  
        94.0        1.09      0.8236      0.2088      0.2755     116.132    6653.991     381.726  
        98.4        1.14      0.8427      0.1972      0.2664     112.297    6433.607     360.594  
       102.9        1.19      0.8569      0.1843      0.2561     107.925    6184.016     336.989  
       107.4        1.24      0.8700      0.1713      0.2445     103.084    5906.988     313.159  
       111.8        1.29      0.8819      0.1581      0.2320      97.760    5601.637     289.104  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2837      0.2634     144.160    7571.813     617.326  
         4.5        0.05      0.0507      0.2852      0.2669     146.037    7673.597     620.698  
         8.9        0.09      0.1011      0.2870      0.2693     147.378    7740.862     624.295  
        13.4        0.14      0.1500      0.2884      0.2735     149.658    7861.233     627.442  
        17.9        0.19      0.1995      0.2897      0.2754     150.731    7918.762     630.364  
        22.4        0.24      0.2486      0.2910      0.2776     151.938    7978.948     633.062  
        26.8        0.28      0.2939      0.2914      0.2821     154.351    8109.939     633.961  
        31.3        0.33      0.3407      0.2917      0.2843     155.558    8171.894     634.861  
        35.8        0.38      0.3862      0.2918      0.2866     156.899    8240.045     634.861  
        40.3        0.43      0.4264      0.2907      0.2911     159.313    8367.495     632.613  
        44.7        0.47      0.4683      0.2896      0.2933     160.520    8429.450     630.140  
        49.2        0.52      0.5083      0.2878      0.2954     161.727    8492.291     626.318  
        53.7        0.57      0.5462      0.2855      0.2975     162.800    8552.476     621.147  
        58.2        0.62      0.5782      0.2819      0.3006     164.543    8641.868     613.504  
        62.6        0.66      0.6119      0.2780      0.3017     165.214    8673.731     604.961  
        67.1        0.71      0.6433      0.2734      0.3025     165.482    8693.203     595.069  
        71.6        0.76      0.6725      0.2680      0.3025     165.616    8694.973     583.379  
        76.1        0.81      0.6996      0.2618      0.3018     165.214    8675.501     569.891  
        80.5        0.85      0.7247      0.2549      0.3003     164.409    8632.133     554.604  
        85.0        0.90      0.7478      0.2471      0.2978     162.934    8560.442     537.743  
        89.5        0.95      0.7691      0.2386      0.2943     161.057    8458.658     519.084  
        94.0        1.00      0.7903      0.2295      0.2893     158.374    8316.161     499.526  
        98.4        1.04      0.8083      0.2196      0.2835     155.156    8148.882     477.944  
       102.9        1.09      0.8248      0.2090      0.2765     151.401    7947.970     454.789  
       107.4        1.14      0.8425      0.1984      0.2680     146.708    7704.574     431.633  
       111.8        1.19      0.8556      0.1865      0.2585     141.478    7431.971     406.005  



         PROP RPM =       1300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2837      0.2631     183.183    8877.298     724.335  
         4.5        0.04      0.0469      0.2851      0.2664     185.329    8983.507     728.156  
         8.9        0.09      0.0929      0.2867      0.2701     187.877    9107.418     732.203  
        13.4        0.13      0.1390      0.2882      0.2724     189.620    9187.074     736.025  
        17.9        0.18      0.1850      0.2898      0.2743     190.961    9257.880     740.071  
        22.4        0.22      0.2285      0.2907      0.2785     193.777    9399.492     742.319  
        26.8        0.26      0.2733      0.2917      0.2804     195.118    9461.447     745.017  
        31.3        0.31      0.3143      0.2922      0.2848     198.203    9611.910     746.141  
        35.8        0.35      0.3571      0.2924      0.2867     199.544    9673.865     746.591  
        40.3        0.39      0.3987      0.2924      0.2889     201.019    9744.671     746.591  
        44.7        0.44      0.4353      0.2914      0.2931     203.969    9886.283     744.118  
        49.2        0.48      0.4739      0.2903      0.2950     205.310    9957.089     741.420  
        53.7        0.53      0.5108      0.2888      0.2971     206.651   10019.044     737.374  
        58.2        0.57      0.5422      0.2862      0.3005     209.065   10134.104     731.079  
        62.6        0.61      0.5756      0.2834      0.3018     210.004   10187.209     723.885  
        67.1        0.66      0.6070      0.2800      0.3029     210.808   10222.612     715.117  
        71.6        0.70      0.6366      0.2760      0.3038     211.345   10249.164     705.001  
        76.1        0.74      0.6643      0.2713      0.3040     211.613   10258.015     692.861  
        80.5        0.79      0.6901      0.2660      0.3038     211.345   10249.164     679.148  
        85.0        0.83      0.7141      0.2598      0.3027     210.674   10213.761     663.636  
        89.5        0.88      0.7363      0.2530      0.3009     209.333   10151.806     646.101  
        94.0        0.92      0.7570      0.2455      0.2982     207.590   10063.298     626.992  
        98.4        0.96      0.7761      0.2374      0.2947     205.042    9939.388     606.085  
       102.9        1.01      0.7937      0.2286      0.2900     201.824    9780.074     583.829  
       107.4        1.05      0.8104      0.2193      0.2844     197.935    9594.209     560.224  
       111.8        1.09      0.8255      0.2095      0.2779     193.375    9372.940     535.045  



         PROP RPM =       1400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2837      0.2630     228.510   10284.567     840.336  
         4.5        0.04      0.0436      0.2850      0.2659     231.192   10408.477     844.158  
         8.9        0.08      0.0865      0.2865      0.2693     234.008   10541.238     848.429  
        13.4        0.12      0.1294      0.2881      0.2715     236.020   10629.746     853.375  
        17.9        0.16      0.1709      0.2894      0.2754     239.372   10771.358     857.197  
        22.4        0.20      0.2132      0.2908      0.2773     240.981   10851.015     861.243  
        26.8        0.24      0.2529      0.2917      0.2814     244.468   11010.328     863.941  
        31.3        0.28      0.2940      0.2925      0.2832     246.077   11081.134     866.414  
        35.8        0.33      0.3345      0.2933      0.2852     247.820   11160.791     868.662  
        40.3        0.37      0.3708      0.2931      0.2892     251.307   11311.253     867.988  
        44.7        0.41      0.4092      0.2930      0.2913     253.050   11390.910     867.988  
        49.2        0.45      0.4427      0.2922      0.2951     256.537   11550.224     865.290  
        53.7        0.49      0.4784      0.2912      0.2970     258.012   11621.029     862.367  
        58.2        0.53      0.5127      0.2899      0.2988     259.621   11691.835     858.546  
        62.6        0.57      0.5418      0.2875      0.3020     262.438   11815.746     851.576  
        67.1        0.61      0.5731      0.2850      0.3033     263.645   11868.850     844.158  
        71.6        0.65      0.6026      0.2821      0.3045     264.583   11913.104     835.390  
        76.1        0.69      0.6306      0.2786      0.3054     265.388   11948.507     825.049  
        80.5        0.73      0.6538      0.2739      0.3067     266.461   12001.612     811.336  
        85.0        0.77      0.6786      0.2692      0.3065     266.327   11992.761     797.173  
        89.5        0.81      0.7019      0.2638      0.3056     265.656   11957.358     781.436  
        94.0        0.85      0.7236      0.2579      0.3043     264.449   11904.253     763.676  
        98.4        0.89      0.7438      0.2513      0.3022     262.572   11824.597     744.343  
       102.9        0.94      0.7627      0.2441      0.2993     260.158   11709.537     722.986  
       107.4        0.98      0.7802      0.2364      0.2956     256.939   11567.925     700.055  
       111.8        1.02      0.7965      0.2281      0.2911     253.050   11390.910     675.776  



         PROP RPM =       1500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2837      0.2628     280.944   11798.044     964.655  
         4.5        0.04      0.0407      0.2849      0.2656     283.894   11930.806     968.927  
