Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 043 Ah Ag,KDE6213XF-185,41x13_5_1200_41_160,1.7,0.43,0.415,0.772,66.46,634.66,28.00,53.50,17.58,10057.65,359.20,12.23,48.02,458.59,15.38,68.82,9.21,2900.00,188.58,16.06,25.20,240.63,4.90,68.79,2.55,257.93,52.63,26.21,2755.00,50.00,0.01,0.01,6.795232355870562,53.5,0.8025654563025412,0.00023942093541202676
Eagle 043 Ah Ag,KDE6213XF-185,41x13_6_1200_41_170,1.7,0.43,0.415,0.909,64.21,613.18,28.00,53.70,17.66,10105.19,360.90,11.81,46.36,442.73,15.33,73.94,9.24,2900.00,189.15,15.55,24.29,231.99,4.85,73.81,2.55,255.47,52.63,25.52,2755.00,50.00,0.01,0.01,7.343232355870562,53.7,0.745449122528684,0.0002382931559988917
Eagle 043 Ah Ag,KDE6213XF-185,41x14_2_1400_51_200,1.7,0.43,0.415,0.374,70.60,674.19,28.00,48.39,17.42,9970.18,356.08,12.99,51.14,488.36,15.47,75.09,9.16,2900.00,187.51,17.01,26.94,257.29,4.99,75.05,2.55,262.67,52.63,27.52,2755.00,50.00,0.01,0.01,5.203232355870561,48.39,0.9480110391327938,0.00024151875982925187
Eagle 043 Ah Ag,KDE6213XF-185,41x14_3_1400_51_210,1.7,0.43,0.415,0.507,67.80,647.46,28.00,49.01,17.53,10029.33,358.19,12.47,49.05,468.40,15.41,82.46,9.20,2900.00,188.23,16.37,25.79,246.23,4.93,82.42,2.55,259.53,52.63,26.66,2755.00,50.00,0.01,0.01,5.735232355870561,49.01,0.8710933085245993,0.00024009603841536616
Eagle 043 Ah Ag,KDE6213XF-185,41x14_4_1400_51_220,1.7,0.43,0.415,0.641,65.74,627.75,28.00,49.56,17.60,10072.95,359.75,12.09,47.52,453.79,15.36,88.71,9.22,2900.00,188.76,15.91,24.95,238.22,4.89,88.67,2.55,257.25,52.63,26.02,2755.00,50.00,0.01,0.01,6.271232355870562,49.56,0.8055813404609196,0.00023905489923558028
Eagle 043 Ah Ag,KDE6213XF-185,41x14_5_1400_51_230,1.7,0.43,0.415,0.775,63.99,611.06,28.00,49.98,17.67,10109.88,361.07,11.77,46.22,441.41,15.33,94.42,9.24,2900.00,189.20,15.51,24.23,231.42,4.85,94.39,2.55,255.31,52.63,25.47,2755.00,50.00,0.01,0.01,6.807232355870562,49.98,0.7484394474720448,0.00023818096214030523
Eagle 043 Ah Ag,KDE6213XF-185,41x14_6_1400_51_240,1.7,0.43,0.415,0.91,62.41,595.98,28.00,50.24,17.73,10143.23,362.26,11.48,45.05,430.20,15.29,99.69,9.26,2900.00,189.61,15.15,23.59,225.26,4.82,99.54,2.55,253.56,52.63,24.96,2755.00,50.00,0.01,0.01,7.3472323558705614,50.24,0.6970386320962824,0.0002373985535250925
Eagle 043 Ah Ag,KDE6213XF-185,41x15_2_1000_41_110,1.7,0.43,0.415,0.376,66.82,638.06,28.00,42.26,17.56,10050.12,358.93,12.29,48.32,461.41,15.39,37.37,9.21,2900.00,188.48,16.15,25.38,242.36,4.91,37.37,2.55,258.42,52.63,26.35,2755.00,50.00,0.01,0.01,5.211232355870562,37.37,0.7309937314987749,0.0004562818336162989
Eagle 043 Ah Ag,KDE6213XF-185,41x15_3_1000_41_110,1.7,0.43,0.415,0.503,65.59,626.35,28.00,42.79,17.61,10076.04,359.86,12.07,47.40,452.63,15.36,39.26,9.22,2900.00,188.80,15.87,24.87,237.49,4.88,39.23,2.55,257.04,52.63,25.96,2755.00,50.00,0.01,0.01,5.719232355870561,39.23,0.699216325404818,0.001634049021470644
Eagle 043 Ah Ag,KDE6213XF-185,41x15_4_1000_41_120,1.7,0.43,0.415,0.643,62.23,594.27,28.00,43.15,17.73,10147.03,362.39,11.45,44.91,428.90,15.29,43.96,9.27,2900.00,189.66,15.11,23.51,224.52,4.81,43.94,2.55,253.35,52.63,24.90,2755.00,50.00,0.01,0.01,6.279232355870562,43.15,0.700495321008326,0.00023731339164988
Eagle 043 Ah Ag,KDE6213XF-185,41x15_5_1000_41_120,1.7,0.43,0.415,0.771,61.92,591.30,28.00,43.62,17.75,10153.59,362.63,11.39,44.67,426.57,15.28,44.90,9.27,2900.00,189.74,15.03,23.37,223.17,4.81,44.87,2.55,252.96,52.63,24.79,2755.00,50.00,0.01,0.01,6.791232355870562,43.62,0.654738778976462,0.00023715633014367263
Eagle 043 Ah Ag,KDE6213XF-185,41x15_6_1000_41_130,1.7,0.43,0.415,0.91,59.26,565.90,28.00,43.84,17.84,10209.81,364.64,10.90,42.71,407.86,15.23,49.24,9.30,2900.00,190.42,14.42,22.31,213.00,4.75,49.19,2.55,250.07,52.63,23.93,2755.00,50.00,0.01,0.01,7.3472323558705614,43.84,0.6082439018929343,0.00023584905660377361
Eagle 043 Ah Ag,KDE6213XF-185,41x16_2_1200_51_160,1.7,0.43,0.415,0.375,66.29,633.00,28.00,40.68,17.58,10061.33,359.33,12.19,47.95,457.85,15.38,52.60,9.21,2900.00,188.61,16.04,25.19,240.55,4.90,52.56,2.55,257.91,52.63,26.21,2755.00,50.00,0.01,0.01,5.207232355870562,40.68,0.7963518251976321,0.00023933431664486686
Eagle 043 Ah Ag,KDE6213XF-185,41x16_3_1200_51_170,1.7,0.43,0.415,0.51,63.08,602.34,28.00,41.02,17.70,10129.18,361.76,11.60,45.56,435.07,15.31,58.59,9.26,2900.00,189.43,15.31,23.88,228.03,4.83,58.56,2.55,254.35,52.63,25.19,2755.00,50.00,0.01,0.01,5.747232355870562,41.02,0.7275584565981995,0.00023772666961521452
Eagle 043 Ah Ag,KDE6213XF-185,41x16_4_1200_51_170,1.7,0.43,0.415,0.638,62.50,596.81,28.00,41.53,17.72,10141.39,362.19,11.50,45.12,430.88,15.30,60.42,9.26,2900.00,189.58,15.17,23.63,225.67,4.82,60.39,2.55,253.68,52.63,25.00,2755.00,50.00,0.01,0.01,6.259232355870562,41.53,0.6763505537802825,0.00023744443524117178
Eagle 043 Ah Ag,KDE6213XF-185,41x16_5_1200_51_180,1.7,0.43,0.415,0.774,60.41,576.87,28.00,41.85,17.80,10185.53,363.77,11.11,43.58,416.14,15.25,65.15,9.29,2900.00,190.12,14.69,22.79,217.63,4.78,65.09,2.55,251.39,52.63,24.33,2755.00,50.00,0.01,0.01,6.803232355870562,41.85,0.6270629640027431,0.00023641311817906922
Eagle 043 Ah Ag,KDE6213XF-185,41x16_6_1200_51_190,1.7,0.43,0.415,0.91,58.59,559.47,28.00,42.14,17.87,10224.02,365.14,10.78,42.24,403.34,15.22,69.74,9.31,2900.00,190.59,14.28,22.06,210.69,4.74,69.68,2.55,249.41,52.63,23.74,2755.00,50.00,0.01,0.01,7.3472323558705614,42.14,0.5846578016826699,0.000235526099578244
Eagle 043 Ah Ag,KDE6213XF-185,41x17_2_1000_46_110,1.7,0.43,0.415,0.39,62.55,597.35,28.00,39.83,17.72,10140.20,362.15,11.51,45.17,431.37,15.30,40.16,9.26,2900.00,189.57,15.19,23.67,226.00,4.82,40.14,2.55,253.77,52.63,25.02,2755.00,50.00,0.01,0.01,5.267232355870561,39.83,0.7708303786890378,0.00023747066132817897
Eagle 043 Ah Ag,KDE6213XF-185,41x17_3_1000_46_120,1.7,0.43,0.415,0.53,58.67,560.27,28.00,39.99,17.87,10222.26,365.08,10.79,42.30,403.98,15.22,45.83,9.31,2900.00,190.56,14.30,22.10,211.07,4.74,45.78,2.55,249.52,52.63,23.77,2755.00,50.00,0.01,0.01,5.827232355870562,39.99,0.699552094448682,0.0002355648077133779
Eagle 043 Ah Ag,KDE6213XF-185,41x17_4_1000_46_120,1.7,0.43,0.415,0.657,58.04,554.24,28.00,40.41,17.89,10235.60,365.56,10.68,41.83,399.44,15.20,47.32,9.32,2900.00,190.73,14.15,21.84,208.54,4.73,47.27,2.55,248.80,52.63,23.55,2755.00,50.00,0.01,0.01,6.335232355870562,40.41,0.6502154654562498,0.00023525549841339315
Eagle 043 Ah Ag,KDE6213XF-185,41x17_5_1000_46_130,1.7,0.43,0.415,0.798,55.45,529.47,28.00,40.64,17.98,10290.41,367.51,10.20,39.92,381.24,15.15,52.11,9.35,2900.00,191.39,13.55,20.81,198.70,4.67,52.01,2.55,246.00,52.63,22.70,2755.00,50.00,0.01,0.01,6.899232355870562,40.64,0.6004597765624274,0.0002340072378982885
Eagle 043 Ah Ag,KDE6213XF-185,41x17_6_1000_46_130,1.7,0.43,0.415,0.926,55.21,527.26,28.00,40.99,17.99,10295.31,367.69,10.16,39.75,379.59,15.15,53.08,9.35,2900.00,191.45,13.50,20.71,197.79,4.67,53.08,2.55,245.74,52.63,22.62,2755.00,50.00,0.01,0.01,7.4112323558705615,40.99,0.563791444922532,0.0002338926813348201
Eagle 043 Ah Ag,KDE6213XF-185,41x19_2_1000_51_120,1.7,0.43,0.415,0.393,59.54,568.55,28.00,35.29,17.83,10203.93,364.43,10.95,42.96,410.22,15.24,39.28,9.30,2900.00,190.33,14.50,22.47,214.55,4.76,39.25,2.55,250.51,52.63,24.06,2755.00,50.00,0.01,0.01,5.279232355870562,35.29,0.6814152893310165,0.0002359849628186483
Eagle 043 Ah Ag,KDE6213XF-185,41x19_3_1000_51_120,1.7,0.43,0.415,0.521,58.12,555.02,28.00,35.41,17.89,10233.87,365.50,10.69,41.91,400.16,15.21,41.37,9.32,2900.00,190.70,14.17,21.89,209.03,4.73,41.34,2.55,248.94,52.63,23.59,2755.00,50.00,0.01,0.01,5.791232355870562,35.41,0.6232839294497166,0.00023529411764705883
Eagle 043 Ah Ag,KDE6213XF-185,41x19_4_1000_51_130,1.7,0.43,0.415,0.661,55.22,527.28,28.00,35.63,17.99,10295.25,367.69,10.16,39.77,379.74,15.15,46.09,9.35,2900.00,191.45,13.50,20.73,197.95,4.67,46.05,2.55,245.79,52.63,22.63,2755.00,50.00,0.01,0.01,6.351232355870562,35.63,0.5718588065175733,0.0002338926813348201
