Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 200 Ah Li,KDE7208XF-135,41x16_6_1200_51_190,63.5,200,0.445,0.91,59.12,564.51,33.30,42.90,18.19,9032.55,271.25,12.53,41.16,393.05,17.09,69.73,8.84,2257.89,132.10,16.97,27.90,266.42,8.53,69.70,4.07,520.63,61.05,22.97,2145.00,58.00,0.40,0.15,69.26723235587056,42.9,0.0631335847597881,0.14746543778801843
Eagle 200 Ah Li,KDE7208XF-135,41x17_2_1000_46_110,63.5,200,0.445,0.39,63.07,602.29,33.30,40.49,18.01,8945.73,268.64,13.37,44.00,420.15,17.20,40.18,8.79,2257.89,131.25,18.02,29.93,285.76,8.67,40.16,4.07,529.37,61.05,24.23,2145.00,58.00,0.40,0.15,67.18723235587056,40.16,0.060930949403693445,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x17_3_1000_46_120,63.5,200,0.445,0.53,59.20,565.30,33.30,40.72,18.19,9030.72,271.19,12.55,41.23,393.67,17.09,45.82,8.84,2257.89,132.08,17.00,27.95,266.89,8.53,45.79,4.07,520.84,61.05,23.00,2145.00,58.00,0.40,0.15,67.74723235587057,40.72,0.06126990459165789,0.14749806408790886
Eagle 200 Ah Li,KDE7208XF-135,41x17_4_1000_46_120,63.5,200,0.445,0.657,58.57,559.29,33.30,41.15,18.21,9044.55,271.61,12.42,40.77,389.28,17.08,47.31,8.85,2257.89,132.22,16.82,27.62,263.72,8.51,47.28,4.07,519.41,61.05,22.79,2145.00,58.00,0.40,0.15,68.25523235587056,41.15,0.06145608390243248,0.147269982695777
Eagle 200 Ah Li,KDE7208XF-135,41x17_5_1000_46_130,63.5,200,0.445,0.798,55.98,534.54,33.30,41.42,18.33,9101.42,273.32,11.87,38.92,371.67,17.01,52.10,8.89,2257.89,132.77,16.13,26.31,251.27,8.42,52.04,4.07,513.77,61.05,21.95,2145.00,58.00,0.40,0.15,68.81923235587055,41.42,0.06135235860215244,0.14634860237084737
Eagle 200 Ah Li,KDE7208XF-135,41x17_6_1000_46_130,63.5,200,0.445,0.926,55.75,532.33,33.30,41.78,18.34,9106.49,273.47,11.82,38.75,370.08,17.00,53.08,8.89,2257.89,132.82,16.07,26.19,250.13,8.41,53.08,4.07,513.26,61.05,21.88,2145.00,58.00,0.40,0.15,69.33123235587055,41.78,0.06142858456731332,0.14626832925000913
Eagle 200 Ah Li,KDE7208XF-135,41x19_2_1000_51_120,63.5,200,0.445,0.393,60.06,573.57,33.30,35.91,18.15,9011.74,270.62,12.73,41.86,399.72,17.12,39.28,8.83,2257.89,131.89,17.23,28.41,271.27,8.56,39.26,4.07,522.82,61.05,23.29,2145.00,58.00,0.40,0.15,67.19923235587056,35.91,0.054473099325453946,0.14780873549626783
Eagle 200 Ah Li,KDE7208XF-135,41x19_3_1000_51_120,63.5,200,0.445,0.521,58.65,560.06,33.30,36.06,18.21,9042.77,271.55,12.43,40.84,389.99,17.08,41.36,8.85,2257.89,132.20,16.85,27.68,264.31,8.51,41.35,4.07,519.67,61.05,22.83,2145.00,58.00,0.40,0.15,67.71123235587056,36.06,0.05428701931275036,0.14730252255569876
Eagle 200 Ah Li,KDE7208XF-135,41x19_4_1000_51_130,63.5,200,0.445,0.661,55.75,532.35,33.30,36.32,18.34,9106.44,273.47,11.82,38.77,370.22,17.00,46.09,8.89,2257.89,132.82,16.07,26.21,250.30,8.41,46.06,4.07,513.34,61.05,21.89,2145.00,58.00,0.40,0.15,68.27123235587057,36.32,0.054229935781478285,0.14626832925000913
Eagle 200 Ah Li,KDE7208XF-135,41x19_5_1000_51_130,63.5,200,0.445,0.789,55.35,528.59,33.30,36.64,18.36,9115.09,273.73,11.73,38.49,367.52,16.99,47.17,8.90,2257.89,132.90,15.97,26.01,248.39,8.39,47.14,4.07,512.47,61.05,21.76,2145.00,58.00,0.40,0.15,68.78323235587057,36.64,0.05430050601280751,0.14612939758155846
Eagle 200 Ah Li,KDE7208XF-135,41x19_6_1000_51_140,63.5,200,0.445,0.929,53.16,507.64,33.30,36.88,18.45,9163.22,275.17,11.27,36.93,352.63,16.93,51.52,8.93,2257.89,133.37,15.37,24.91,237.89,8.32,51.52,4.07,507.72,61.05,21.03,2145.00,58.00,0.40,0.15,69.34323235587055,36.88,0.054214795391006834,0.14536468365010718
Eagle 200 Ah Li,KDE7208XF-135,41x22_2_800_46_70,63.5,200,0.445,0.392,59.99,572.82,33.30,32.46,18.15,9013.45,270.67,12.72,41.80,399.11,17.12,22.79,8.83,2257.89,131.91,17.21,28.35,270.76,8.56,22.78,4.07,522.59,61.05,23.26,2145.00,58.00,0.40,0.15,67.19523235587056,22.78,0.03455781316634087,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x22_3_800_46_80,63.5,200,0.445,0.54,54.99,525.11,33.30,32.52,18.37,9123.08,273.97,11.66,38.23,365.09,16.98,27.17,8.90,2257.89,132.98,15.87,25.83,246.67,8.38,27.16,4.07,511.69,61.05,21.64,2145.00,58.00,0.40,0.15,67.78723235587056,27.16,0.04084255057525451,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x22_4_800_46_80,63.5,200,0.445,0.667,54.21,517.68,33.30,32.69,18.41,9140.14,274.48,11.49,37.67,359.74,16.96,28.10,8.91,2257.89,133.15,15.66,25.43,242.86,8.35,28.08,4.07,509.97,61.05,21.38,2145.00,58.00,0.40,0.15,68.29523235587057,28.08,0.041911934733389486,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x22_5_800_46_80,63.5,200,0.445,0.794,53.75,513.30,33.30,32.90,18.43,9150.23,274.78,11.39,37.34,356.60,16.95,28.76,8.92,2257.89,133.25,15.53,25.20,240.64,8.34,28.75,4.07,508.97,61.05,21.22,2145.00,58.00,0.40,0.15,68.80323235587056,28.75,0.04259513508604046,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x22_6_800_46_90,63.5,200,0.445,0.942,50.57,482.94,33.30,33.12,18.57,9219.97,276.88,10.72,35.09,335.10,16.86,32.69,8.97,2257.89,133.93,14.67,23.62,225.57,8.22,32.64,4.07,502.15,61.05,20.16,2145.00,58.00,0.40,0.15,69.39523235587056,32.64,0.04794590366553897,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x23_6_600_36_50,63.5,200,0.445,0.936,50.64,483.57,33.30,31.33,18.57,9218.53,276.83,10.74,35.13,335.47,16.86,17.37,8.97,2257.89,133.91,14.68,23.63,225.69,8.23,17.36,4.07,502.20,61.05,20.17,2145.00,58.00,0.40,0.15,69.37123235587056,17.36,0.02550946226189194,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x24_2_800_51_80,63.5,200,0.445,0.401,56.38,538.35,33.30,28.70,18.31,9092.65,273.05,11.95,39.23,374.61,17.02,22.80,8.88,2257.89,132.68,16.25,26.54,253.44,8.43,22.79,4.07,514.76,61.05,22.10,2145.00,58.00,0.40,0.15,67.23123235587056,22.79,0.03455447077212513,0.6552006552006552
Eagle 200 Ah Li,KDE7208XF-135,41x24_3_800_51_80,63.5,200,0.445,0.529,54.83,523.59,33.30,28.54,18.38,9126.58,274.07,11.62,38.12,364.04,16.98,23.98,8.91,2257.89,133.01,15.83,25.76,245.96,8.38,23.97,4.07,511.37,61.05,21.59,2145.00,58.00,0.40,0.15,67.74323235587056,23.97,0.03606891775722677,0.6552006552006552
