        83x24_6_800_51_1280                                 (83x24_6_800_51_1280.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        85.0        1.35      0.7378      0.3973      0.7280     118.050    9302.134     384.199  
        89.5        1.42      0.7605      0.3858      0.7219     117.058    9222.477     373.183  
        94.0        1.49      0.7791      0.3720      0.7134     115.690    9116.268     359.694  
        98.4        1.57      0.7980      0.3575      0.7011     113.692    8956.955     345.756  
       102.9        1.64      0.8137      0.3412      0.6862     111.278    8766.664     330.020  
       107.4        1.71      0.8297      0.3246      0.6681     108.341    8535.659     313.833  
       111.8        1.78      0.8444      0.3072      0.6470     104.921    8266.597     296.973  



         PROP RPM =       880

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3625      0.5508     118.895    8515.303     424.215  
         4.5        0.06      0.0427      0.3659      0.5544     119.659    8570.177     428.261  
         8.9        0.13      0.0855      0.3697      0.5590     120.665    8641.868     432.533  
        13.4        0.19      0.1284      0.3739      0.5650     121.939    8733.031     437.478  
        17.9        0.26      0.1711      0.3785      0.5723     123.521    8847.206     442.874  
        22.4        0.32      0.2134      0.3836      0.5813     125.452    8983.507     448.944  
        26.8        0.39      0.2551      0.3891      0.5919     127.746    9151.671     455.238  
        31.3        0.45      0.2960      0.3949      0.6043     130.428    9337.537     462.207  
        35.8        0.52      0.3356      0.4011      0.6187     133.525    9567.656     469.626  
        40.3        0.58      0.3759      0.4077      0.6316     136.382    9762.373     477.270  
        44.7        0.65      0.4159      0.4143      0.6440     139.064    9957.089     484.688  
        49.2        0.71      0.4549      0.4197      0.6568     141.746   10151.806     491.432  
        53.7        0.78      0.4884      0.4232      0.6729     145.232   10399.627     495.479  
        58.2        0.84      0.5241      0.4267      0.6847     147.780   10585.492     499.301  
        62.6        0.91      0.5579      0.4287      0.6959     150.194   10753.656     501.549  
        67.1        0.97      0.5898      0.4290      0.7061     152.474   10912.970     502.223  
        71.6        1.03      0.6196      0.4283      0.7152     154.351   11054.582     501.099  
        76.1        1.10      0.6474      0.4256      0.7227     155.961   11169.641     497.727  
        80.5        1.16      0.6732      0.4209      0.7280     157.168   11258.149     492.557  
        85.0        1.23      0.6970      0.4147      0.7313     157.838   11302.403     485.363  
        89.5        1.29      0.7191      0.4070      0.7320     157.972   11320.104     476.145  
        94.0        1.36      0.7419      0.3984      0.7292     157.436   11275.850     466.029  
        98.4        1.42      0.7605      0.3871      0.7244     156.363   11196.194     452.990  
       102.9        1.49      0.7776      0.3747      0.7168     154.754   11081.134     438.378  
       107.4        1.55      0.7953      0.3618      0.7062     152.474   10912.970     423.315  
       111.8        1.62      0.8099      0.3472      0.6932     149.658   10718.253     406.230  



         PROP RPM =       960

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3626      0.5505     154.217   10125.253     504.921  
         4.5        0.06      0.0392      0.3656      0.5536     155.156   10187.209     509.192  
         8.9        0.12      0.0785      0.3691      0.5578     156.363   10258.015     513.913  
        13.4        0.18      0.1178      0.3728      0.5630     157.704   10355.373     519.309  
        17.9        0.24      0.1570      0.3770      0.5694     159.581   10470.433     524.929  
        22.4        0.30      0.1960      0.3815      0.5769     161.727   10612.044     531.224  
        26.8        0.36      0.2346      0.3864      0.5859     164.141   10780.209     537.968  
        31.3        0.42      0.2725      0.3915      0.5964     167.091   10974.925     545.387  
        35.8        0.47      0.3096      0.3973      0.6084     170.444   11196.194     553.030  
        40.3        0.53      0.3456      0.4031      0.6222     174.333   11444.015     561.123  
        44.7        0.59      0.3824      0.4089      0.6341     177.685   11665.283     569.666  
        49.2        0.65      0.4192      0.4147      0.6456     180.904   11877.701     577.759  
        53.7        0.71      0.4551      0.4205      0.6573     184.122   12090.119     585.403  
        58.2        0.77      0.4859      0.4236      0.6720     188.279   12364.492     589.899  
        62.6        0.83      0.5191      0.4271      0.6828     191.364   12559.209     594.620  
        67.1        0.89      0.5508      0.4294      0.6934     194.314   12753.925     597.992  
        71.6        0.95      0.5808      0.4306      0.7034     197.130   12939.791     599.790  
        76.1        1.01      0.6051      0.4294      0.7151     200.348   13152.209     597.767  
        80.5        1.07      0.6319      0.4275      0.7223     202.360   13284.970     595.519  
        85.0        1.13      0.6569      0.4244      0.7281     203.969   13391.179     591.248  
        89.5        1.19      0.6802      0.4201      0.7323     205.176   13470.835     584.953  
        94.0        1.25      0.7019      0.4139      0.7346     205.847   13515.089     576.635  
        98.4        1.30      0.7220      0.4066      0.7347     205.847   13515.089     566.294  
       102.9        1.36      0.7431      0.3988      0.7317     205.042   13461.985     555.278  
       107.4        1.42      0.7603      0.3884      0.7273     203.835   13382.328     541.115  
       111.8        1.48      0.7762      0.3773      0.7205     201.824   13249.567     525.379  



         PROP RPM =       1040

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3626      0.5502     196.057   11877.701     592.597  
         4.5        0.05      0.0362      0.3654      0.5532     196.996   11939.656     597.318  
         8.9        0.11      0.0724      0.3685      0.5568     198.337   12019.313     602.263  
        13.4        0.16      0.1088      0.3720      0.5614     199.946   12116.671     607.884  
        17.9        0.22      0.1451      0.3757      0.5669     201.958   12240.582     613.953  
        22.4        0.27      0.1812      0.3797      0.5735     204.371   12382.194     620.698  
        26.8        0.33      0.2170      0.3841      0.5813     207.053   12550.358     627.892  
        31.3        0.38      0.2523      0.3887      0.5903     210.272   12745.074     635.535  
        35.8        0.44      0.2871      0.3938      0.6005     213.893   12966.343     643.628  
        40.3        0.49      0.3210      0.3988      0.6122     218.050   13214.164     652.171  
        44.7        0.55      0.3541      0.4046      0.6252     222.743   13497.388     660.938  
        49.2        0.60      0.3879      0.4101      0.6363     226.766   13736.358     670.156  
        53.7        0.66      0.4219      0.4155      0.6469     230.521   13966.477     679.148  
        58.2        0.71      0.4516      0.4197      0.6613     235.617   14276.253     686.117  
        62.6        0.77      0.4837      0.4240      0.6714     239.238   14497.522     692.861  
        67.1        0.82      0.5148      0.4275      0.6817     242.859   14718.791     698.706  
        71.6        0.88      0.5405      0.4290      0.6951     247.686   15010.865     701.179  
        76.1        0.93      0.5689      0.4306      0.7039     250.771   15196.731     703.427  
        80.5        0.99      0.5959      0.4310      0.7122     253.721   15373.746     704.102  
