weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
2.248003,0.5334,11000.0,1000.0,0.82,157.89473,9615.789,51.8,5370.46,75.39,2737.93,52.86,5.84,30.0,5411.75,27.59,1088.65,21.02,2.09,0.6235651,33.53643,1217.9387,0.027535401,12.273115,484.27423,0.025343316,kde_direct_KDE13218XF_105,apc_propellers_21x13WE
2.2559862,0.5588,10000.0,1000.0,0.75,157.89473,9615.789,51.8,5375.33,82.15,2543.23,49.1,5.4,30.0,5414.38,24.37,983.46,18.99,1.85,0.5949321,36.41423,1127.3251,0.032301445,10.802371,435.9335,0.024779858,kde_direct_KDE13218XF_105,apc_propellers_22x12E
2.2779853,0.5588,8000.0,1000.0,0.75,157.89473,9615.789,51.8,5386.22,95.7,2108.45,40.7,4.41,30.0,5410.19,29.16,1150.97,22.22,2.23,0.5953928,42.010803,925.5766,0.04538879,12.800784,505.25784,0.025335152,kde_direct_KDE13218XF_105,apc_propellers_22x12WE
2.284018,0.6096,9000.0,1000.0,0.7,157.89473,9615.789,51.8,5374.92,113.57,2559.74,49.42,5.44,30.0,5405.45,34.45,1340.27,25.87,2.66,0.54625535,49.723774,1120.7179,0.044367786,15.083068,586.8036,0.025703777,kde_direct_KDE13218XF_105,apc_propellers_24x12E
2.3431208,0.635,9000.0,1000.0,0.7,157.89473,9615.789,51.8,5367.69,134.29,2848.49,54.99,6.09,30.0,5394.74,46.84,1768.14,34.13,3.64,0.52544624,57.31245,1215.682,0.047144275,19.990433,754.60895,0.026491115,kde_direct_KDE13218XF_105,apc_propellers_25x12_5E
2.3290143,0.6604,8000.0,1000.0,0.69,157.89473,9615.789,44.4,4595.45,113.03,2278.54,51.32,5.66,30.0,4633.34,24.37,981.2,22.1,2.22,0.5882626,48.53126,978.32806,0.049606327,10.4636545,421.2941,0.024836935,kde_direct_KDE13218XF_105,apc_propellers_26x13E
2.3290143,0.6604,8000.0,1000.0,0.69,157.89473,9615.789,51.8,5358.18,154.46,3228.63,62.33,6.96,30.0,5384.43,58.1,2179.69,42.08,4.57,0.5062041,66.3199,1386.2645,0.047840726,24.946177,935.8852,0.026655167,kde_direct_KDE13218XF_105,apc_propellers_26x13E
2.3340037,0.6604,7000.0,1000.0,0.78,157.89473,9615.789,44.4,4580.76,115.48,2781.6,62.65,7.0,30.0,4615.71,43.03,1584.98,35.7,3.82,0.59050953,49.47721,1191.7719,0.041515674,18.43613,679.08203,0.027148608,kde_direct_KDE13218XF_105,apc_propellers_26x15E
2.3340037,0.6604,7000.0,1000.0,0.78,157.89473,9615.789,51.8,5352.22,156.36,3466.47,66.92,7.5,30.0,5360.61,83.16,3131.27,60.45,6.74,0.5084535,66.99218,1485.2032,0.045106404,35.62976,1341.5874,0.026557915,kde_direct_KDE13218XF_105,apc_propellers_26x15E
2.3520112,0.6858,8000.0,1000.0,0.68,157.89473,9615.789,44.4,4588.02,129.8,2532.99,57.05,6.34,30.0,4627.58,30.26,1178.52,26.54,2.74,0.5671802,55.18681,1076.9464,0.051243786,12.865584,501.06903,0.025676273,kde_direct_KDE13218XF_105,apc_propellers_27x13E
2.3520112,0.6858,8000.0,1000.0,0.68,157.89473,9615.789,51.8,5343.55,178.45,3812.79,73.61,8.29,30.0,5374.49,68.9,2576.88,49.75,5.48,0.4883574,75.87123,1621.0764,0.046802998,29.294077,1095.6069,0.02673776,kde_direct_KDE13218XF_105,apc_propellers_27x13E
0.38399702,0.2794,21000.0,1000.0,1.15,46.31579,2057.8948,51.8,10751.32,25.72,2048.48,39.55,1.61,30.0,10971.64,23.63,1348.41,26.03,1.05,0.5871845,66.97969,5334.625,0.012555651,61.536938,3511.5117,0.017524343,kde_direct_KDE5215XF_220,apc_propellers_11x10E
0.3869907,0.3048,16000.0,1000.0,1.25,46.31579,2057.8948,44.4,9088.61,24.63,1850.37,41.67,1.7,30.0,9254.17,24.26,1399.45,31.52,1.28,0.63814604,63.64494,4781.4326,0.0133108515,62.688843,3616.2368,0.017335381,kde_direct_KDE5215XF_220,apc_propellers_12x12E
0.38000542,0.3048,16000.0,1000.0,0.91,46.31579,2057.8948,51.8,10823.87,47.4,1817.95,35.1,1.43,30.0,11020.94,22.2,1191.78,23.01,0.93,0.5358447,124.73506,4784.0107,0.026073324,58.42022,3136.2185,0.018627599,kde_direct_KDE5215XF_220,apc_propellers_12x6SF
0.3719294,0.254,20000.0,2000.0,0.73,65.26316,1931.579,51.8,16580.81,48.3,1927.17,37.2,1.0,30.0,16729.66,23.67,1368.2,26.41,0.7,0.42359582,129.86334,5181.548,0.025062656,63.641106,3678.655,0.017300103,kde_direct_KDE5215XF_330,apc_propellers_10x3_8SF
0.4449823,0.3302,18000.0,1000.0,1.0,52.63158,2900.0,51.8,9026.0,32.14,2280.1,44.02,2.13,30.0,9278.19,24.0,1247.76,24.09,1.15,0.5875329,72.22759,5124.024,0.014095873,53.93473,2804.0667,0.019234467,kde_direct_KDE6213XF_185,apc_propellers_13x10E
0.48099735,0.3302,13000.0,1000.0,1.33,52.63158,2900.0,51.8,9202.24,41.24,1558.65,30.09,1.44,30.0,9017.54,39.06,2314.75,44.69,2.16,0.6045154,85.73852,3240.4546,0.026458794,81.20627,4812.3965,0.016874392,kde_direct_KDE6213XF_185,apc_propellers_13x14
0.45001715,0.3556,16000.0,1000.0,1.09,52.63158,2900.0,44.4,7658.81,29.33,1948.03,43.87,2.12,30.0,7863.77,23.92,1228.88,27.68,1.33,0.6436947,65.17529,4328.7905,0.015056237,53.15353,2730.7405,0.019464878,kde_direct_KDE6213XF_185,apc_propellers_14x12E
0.45999613,0.381,15000.0,1000.0,0.88,52.63158,2900.0,44.4,7570.14,37.33,2259.17,50.88,2.46,30.0,7916.81,20.97,1042.79,23.49,1.12,0.5967567,81.152855,4911.2803,0.016523767,45.58734,2266.9539,0.020109514,kde_direct_KDE6213XF_185,apc_propellers_15x10E
0.50998175,0.4064,13000.0,1000.0,0.65,52.63158,2900.0,51.8,9015.85,69.55,2321.67,44.82,2.17,30.0,9262.32,25.8,1312.71,25.34,1.21,0.4781884,136.37743,4552.457,0.029956885,50.590046,2574.0332,0.019653998,kde_direct_KDE6213XF_185,apc_propellers_16x7
0.47900155,0.4318,13000.0,1000.0,0.61,52.63158,2900.0,51.8,8947.19,75.36,2602.73,50.25,2.43,30.0,9242.17,27.39,1395.19,26.93,1.29,0.4510409,157.32726,5433.6567,0.028954213,57.181442,2912.7046,0.019631734,kde_direct_KDE6213XF_185,apc_propellers_17x7E
