ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
"6,8","31.5,31.5",44.7,10.0,UAV,86.9,2.0,42.0,1.3,0.08033757960698291,0.016464304457782276,580.0,30.0,31.0,575.0,t_motor_MN4010KV580,t_motor_MN4010KV580,8,4,"4,6","12,15",18N24P,4.0,39.1,0.137
"6,8","31.5,31.5",44.7,12.0,UAV,92.9,2.0,133.0,0.9,0.07701346160134363,0.02808616642798153,340.0,33.0,22.0,660.0,t_motor_MN4012KV340,t_motor_MN4012KV340,8,4,"4,6","13,17",18N24P,4.0,40.9,0.155
"6,8","31.5,31.5",44.7,12.0,UAV,92.9,2.0,75.0,1.0,0.08717275246988208,0.0238732414637843,400.0,33.0,25.0,750.0,t_motor_MN4012KV400,t_motor_MN4012KV400,8,4,"4,6","12,16",18N24P,4.0,40.9,0.155
"6,8","31.5,31.5",44.7,12.0,UAV,92.9,2.0,57.0,1.3,0.08332833742247843,0.019894367886486918,480.0,33.0,29.0,870.0,t_motor_MN4012KV480,t_motor_MN4012KV480,8,4,"4,6","12,16",18N24P,4.0,40.9,0.155
"6,8","31.5,31.5",44.7,14.0,UAV,96.9,2.0,85.0,1.1,0.09925399112253296,0.028937262380344612,330.0,35.0,25.0,750.0,t_motor_MN4014KV330,t_motor_MN4014KV330,8,4,"4,7","14,18",18N24P,4.0,42.9,0.171
"6,8","31.5,31.5",44.7,14.0,UAV,96.9,2.0,67.0,1.3,0.09223037816543718,0.0238732414637843,400.0,35.0,30.0,900.0,t_motor_MN4014KV400,t_motor_MN4014KV400,8,4,"4,6","14,18",18N24P,4.0,42.9,0.171
6,31.5,59.0,8.0,UAV,99.9,2.0,93.0,0.9,0.09209816785799094,0.02808616642798153,340.0,29.5,35.0,850.0,t_motor_MN5208KV340,t_motor_MN5208KV340,6,4,"4,7","14,18",24N22P,4.0,38.5,0.196
6,31.5,59.0,12.0,UAV,109.9,2.0,69.0,1.1,0.10692220825294046,0.02808616642798153,340.0,33.5,35.0,840.0,t_motor_MN5212KV340,t_motor_MN5212KV340,8,4,"5,7","14,19",24N22P,4.0,42.5,0.249
6,31.5,59.0,12.0,UAV,109.9,2.0,69.0,1.1,0.08655607334761847,0.022736420441699334,420.0,33.5,60.0,1440.0,t_motor_MN5212KV420,t_motor_MN5212KV420,8,4,"5,7","14,18",24N22P,4.0,42.5,0.249
nan,nan,17.7,6.0,UAV,41.9,3.0,62.0,0.2,0.012371257411140733,0.0030804182533915227,3100.0,12.0,6.0,44.0,t_motor_MT13063100KV,t_motor_MT13063100KV,2,1,"2,3","6,7",,4.0,26.0,0.0112
nan,nan,27.5,8.0,UAV,43.9,3.0,165.0,0.1,0.021371584627540637,0.008681178714103382,1100.0,24.5,12.0,180.0,t_motor_MT22081100KV,t_motor_MT22081100KV,4,3,"2,4","8,11",,5.0,48.0,0.045
nan,nan,27.5,16.0,UAV,54.9,3.0,175.0,0.3,0.02853398119506309,0.01193662073189215,800.0,34.0,18.0,260.0,t_motor_MT2216V2800KV,t_motor_MT2216V2800KV,4,3,"3,5","9,12",12N14P,5.0,58.0,0.075
6,0,69.0,15.0,Both,107.9,2.0,80.0,1.0,0.19859918738759694,0.05617233285596306,170.0,33.5,38.0,1800.0,t_motor_P60KV170,t_motor_P60KV170,14,6,"4,20","16,24",,6.0,40.8,0.375
6,0,69.0,15.0,Both,107.9,2.0,35.0,2.0,0.15012687440202768,0.02808616642798153,340.0,33.5,65.0,1550.0,t_motor_P60KV340,t_motor_P60KV340,8,6,"4,20","16,24",,6.0,40.8,0.375
