BASE_VOLTAGE,BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,MODULE_MASS,MODULE_VOLUME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
,UAV,10000,LiPo,25,UAV,149.99,XT150,169.0,Tattu25C10000mAh4S1P,Tattu25C10000mAh4S1P,,,4S1P,12,50,39.0,14.8,0.94,65
,UAV,11000,LiHv,25,UAV,210.0,XT90,176.0,Tattu25C11000mAh6S1PHV,Tattu25C11000mAh6S1PHV,,,6S1P,12,50,56.0,22.8,1.35,65
,UAV,19000,LiPo,25,UAV,1022.99,Molex,279.0,Tattu25C19000mAh14S1P,Tattu25C19000mAh14S1P,,,14S1P,12,50,91.0,51.8,7.86,236
,UAV,22000,LiPo,25,UAV,1185.79,Molex,279.0,Tattu25C22000mAh14S1P,Tattu25C22000mAh14S1P,,,14S1P,12,50,91.0,51.8,8.74,236
,UAV,22000,LiPo,25,UAV,343.89,EC5,195.0,Tattu25C22000mAh4S1P,Tattu25C22000mAh4S1P,,,4S1P,12,50,43.0,14.8,1.673,91
,UAV,23000,LiHv,25,UAV,482.99,XT150,210.0,Tattu25C23000mAh6S1PHV,Tattu25C23000mAh6S1PHV,,,6S1P,12,50,66.0,22.8,2.47,93
,UAV,25000,LiPo,25,UAV,1347.49,Molex,279.0,Tattu25C25000mAh14S1P,Tattu25C25000mAh14S1P,,,14S1P,12,50,91.0,51.8,9.54,236
,UAV,28000,LiPo,25,UAV,517.13,XT150,205.0,Tattu25C28000mAh6S1P,Tattu25C28000mAh6S1P,,,6S1P,12,50,67.0,22.2,3.505,121
,UAV,30000,LiPo,25,UAV,517.13,XT150,217.0,Tattu25C30000mAh6S1P,Tattu25C30000mAh6S1P,,,6S1P,12,50,65.0,22.2,3.505,120
,UAV,7000,LiPo,25,UAV,142.0,XT60,138.0,Tattu25C7000mAh6S1P,Tattu25C7000mAh6S1P,,,6S1P,12,50,65.0,22.2,0.87,42
,UAV,8000,LiPo,25,UAV,157.0,XT60,168.0,Tattu25C8000mAh6S1P,Tattu25C8000mAh6S1P,,,6S1P,12,50,51.0,22.2,1.16,65
,UAV,9000,LiPo,25,UAV,205.62,EC5,208.0,Tattu25C9000mAh6S1P,Tattu25C9000mAh6S1P,,,6S1P,12,50,37.0,22.2,1.173,73
,UAV,10000,LiPo,30,UAV,210.0,XT90,175.0,Tattu30C10000mAh6S1P,Tattu30C10000mAh6S1P,,,6S1P,12,60,58.0,22.2,1.357,65
,UAV,12000,LiPo,30,UAV,260.63,XT90,190.0,Tattu30C12000mAh6S1P,Tattu30C12000mAh6S1P,,,6S1P,12,60,54.0,22.2,1.532,71
,UAV,16000,LiPo,30,UAV,325.79,XT90,190.0,Tattu30C16000mAh6S1P,Tattu30C16000mAh6S1P,,,6S1P,12,60,65.0,22.2,1.974,76
,UAV,22000,LiPo,30,UAV,461.89,XT150,206.0,Tattu30C22000mAh6S1P,Tattu30C22000mAh6S1P,,,6S1P,12,60,61.0,22.2,2.46,91
,UAV,6000,LiPo,35,UAV,129.99,XT60,148.0,Tattu35C6000mAh6S1P,Tattu35C6000mAh6S1P,,,6S1P,12,70,59.0,22.2,0.885,45
,UAV,20000,LiIon,5,UAV,400.0,XT90,189.0,Tattu5C20000mAh6S1P,Tattu5C20000mAh6S1P,,,6S1P,12,10,58.0,22.2,1.8,76
,UAV,28000,LiIon,5,UAV,450.0,XT90,203.0,Tattu5C28000mAh6S1P,Tattu5C28000mAh6S1P,,,6S1P,12,10,61.5,22.2,2.5,89
,UAV,16000,LiPo,15,UAV,674.99,XT90,224.0,TattuPlus15C16000mAh12S1P,TattuPlus15C16000mAh12S1P,,,12S1P,12,30,90.0,44.4,4.74,163
,UAV,16000,LiPo,15,UAV,674.99,XT150,224.0,TattuPlus15C16000mAh12S1PAGRI,TattuPlus15C16000mAh12S1PAGRI,,,12S1P,12,30,90.0,44.4,4.7,163
,UAV,16000,LiPo,15,UAV,674.99,XT90,217.5,TattuPlus15C16000mAh12S1Pcompact,TattuPlus15C16000mAh12S1Pcompact,,,12S1P,12,30,80.0,44.4,4.25,150
,UAV,22000,LiPo,25,UAV,843.99,XT150,235.5,TattuPlus25C22000mAh12S1P,TattuPlus25C22000mAh12S1P,,,12S1P,12,50,172.0,44.4,6.0,116
,UAV,22000,LiPo,25,UAV,843.99,XT150,235.0,TattuPlus25C22000mAh12S1PAGRI,TattuPlus25C22000mAh12S1PAGRI,,,12S1P,12,50,116.0,44.4,5.8,172
,UAV,22000,LiPo,25,UAV,908.59,XT150,238.0,TattuPro25C22000mAh12S1P,TattuPro25C22000mAh12S1P,,,12S1P,12,50,117.0,44.4,6.3,174
