weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,omega_rpm,voltage,thrust,power,current,omega_rpm_at20,thrust_at20,power_at20,current_at20,j_at20,max_omega_rpm,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,thrust_per_weight_at20,power_per_weight_at20,thrust_per_power_at20,motor_name,propeller_name
0.14701383,0.2286,23000.0,1000.0,0.52,20417.43,51.8,24.02,824.9,15.92,20473.01,14.58,673.39,13.0,0.25640312,20501.94,52.02,24.31,842.11,16.19,163.38599,5611.0366,0.029118681,99.17435,4580.4536,0.021651642,t_motor_AntigravityMN5008KV400,apc_propellers_9x3N
0.18394744,0.3556,13999.0,2000.0,0.64,7812.59,51.8,36.18,910.19,17.57,7968.25,15.52,612.18,11.82,0.42350304,8499.98,56.64,42.54,1178.95,20.81,196.68661,4948.098,0.039749943,84.371925,3328.0156,0.02535202,t_motor_AntigravityMN6007IIKV160,apc_propellers_14x4_7SF
0.19501504,0.381,15000.0,2000.0,0.62,7735.46,51.8,38.47,1057.87,20.42,7940.04,17.82,666.19,12.86,0.39667386,7980.94,53.6,41.09,1178.95,22.0,197.26683,5424.5557,0.036365528,91.37756,3416.0955,0.026749125,t_motor_AntigravityMN6007IIKV160,apc_propellers_15x5_5MR
0.1919802,0.3302,17000.0,1000.0,0.83,6994.95,22.8,18.08,475.35,20.85,7051.34,10.53,386.31,16.94,0.51538587,8323.34,27.79,25.38,1094.74,39.4,94.17638,2476.0366,0.038035132,54.849407,2012.2388,0.027257903,t_motor_AntigravityMN6007IIKV320,apc_propellers_13x8E
0.19701505,0.381,15000.0,2000.0,0.62,6851.72,22.8,29.82,701.49,30.77,7041.01,10.88,402.61,17.66,0.44732308,7802.15,26.26,38.64,1094.74,41.68,151.359,3560.591,0.042509515,55.22421,2043.5496,0.027023671,t_motor_AntigravityMN6007IIKV320,apc_propellers_15x5_5MR
0.09200963,0.2032,29000.0,1000.0,0.72,18021.0,22.8,14.01,460.59,20.2,17862.13,10.54,494.51,21.69,0.33061633,19007.81,24.26,15.58,560.0,23.08,152.26668,5005.889,0.030417508,114.55323,5374.5464,0.021314029,kde_direct_KDE2315XF_885,apc_propellers_8x3_75
0.13497898,0.2794,14000.0,1000.0,0.7,9933.06,22.2,19.65,523.54,23.58,10150.44,10.13,447.67,20.17,0.42312625,10136.37,22.73,20.31,560.0,24.64,145.57822,3878.678,0.037532948,75.04872,3316.5906,0.022628276,kde_direct_KDE2814XF_515,apc_propellers_11x4_6SF
0.15588948,0.244475,18000.0,1000.0,0.64,16064.17,22.2,17.73,498.54,22.46,15921.12,13.28,561.05,25.27,0.30829975,17476.97,24.43,21.02,701.05,28.69,113.73442,3198.035,0.035563845,85.18856,3599.0242,0.023669904,kde_direct_KDE2814XF_775,apc_propellers_9_625x3_75N
0.11188948,0.244475,18000.0,1000.0,0.64,16252.13,14.8,18.16,560.31,37.86,15999.05,13.48,623.39,42.12,0.30679804,16913.65,15.46,19.71,627.37,40.58,162.30302,5007.7095,0.03241063,120.47603,5571.48,0.021623703,t_motor_AS2317KV1250,apc_propellers_9_625x3_75N
0.09800962,0.23495,24000.0,1000.0,0.88,13562.63,11.1,14.44,468.83,42.24,13089.65,12.16,580.97,52.34,0.39019147,14272.88,11.88,15.99,600.48,50.53,147.33247,4783.51,0.030800076,124.06945,5927.683,0.020930512,t_motor_AS2317KV1400,apc_propellers_9_25x6_0
0.09601383,0.2286,23000.0,1000.0,0.52,18791.42,14.8,19.45,609.69,41.19,19050.12,11.53,527.9,35.67,0.27555436,19795.47,15.73,21.58,749.47,47.64,202.57498,6350.023,0.031901456,120.08687,5498.1665,0.021841258,t_motor_AS2317KV1400,apc_propellers_9x3N
0.08598949,0.2286,18000.0,1000.0,0.77,13231.71,11.1,16.92,547.29,49.31,13428.79,10.3,500.56,45.1,0.39090222,13381.49,11.25,17.36,568.31,50.53,196.76823,6364.615,0.030915968,119.78208,5821.177,0.020576954,t_motor_AS2317KV1400,apc_propellers_9x4_1SF
0.08753169,0.2286,24000.0,1000.0,0.47,18518.29,14.8,17.64,696.03,47.03,18848.27,11.24,591.71,39.98,0.27850533,19005.93,15.22,18.55,749.47,49.24,201.527,7951.748,0.025343735,128.41063,6759.951,0.018995792,t_motor_AS2317KV1400,apc_propellers_9x4_4SFR
0.12197898,0.2794,14000.0,1000.0,0.7,9962.15,11.1,19.77,544.44,49.05,10195.38,10.29,469.43,42.29,0.42126116,10198.27,11.41,20.73,588.41,51.58,162.0771,4463.392,0.036312543,84.358795,3848.45,0.0219202,t_motor_AS2814KV1050,apc_propellers_11x4_6SF
0.13808143,0.254,24000.0,1000.0,0.5,16011.65,14.8,27.78,900.71,60.86,16456.99,15.08,671.28,45.36,0.28707615,16177.8,14.97,28.44,931.58,62.22,201.18564,6523.035,0.030842336,109.21092,4861.4795,0.022464545,t_motor_AS2814KV1200,apc_propellers_10x3
0.12392942,0.254,20000.0,2000.0,0.73,11484.27,11.1,21.92,709.29,63.9,11928.49,12.1,537.66,48.44,0.39606097,11511.21,11.13,22.03,714.66,64.21,176.87488,5723.3384,0.030904144,97.63622,4338.4375,0.02250493,t_motor_AS2814KV1200,apc_propellers_10x3_8SF
0.11998318,0.254,16000.0,1000.0,0.75,11798.58,11.1,19.83,587.85,52.96,11928.07,11.86,537.82,48.45,0.39607492,12993.3,12.36,24.02,793.96,64.21,165.27316,4899.4365,0.033733096,98.84718,4482.4614,0.022051988,t_motor_AS2814KV1200,apc_propellers_10x4_6SF
0.15198319,0.254,16000.0,1000.0,0.75,14012.96,14.8,28.67,976.59,65.99,14068.1,19.44,941.33,63.6,0.33582428,14212.47,15.02,29.57,1013.68,67.48,188.6393,6425.645,0.029357253,127.90889,6193.6455,0.020651631,t_motor_AS2820KV1050,apc_propellers_10x4_6SF
0.18314482,0.2794,22000.0,1000.0,0.5,14005.58,14.8,31.67,981.31,66.3,14413.8,16.44,720.24,48.66,0.29797262,14144.98,14.96,32.38,1013.68,67.74,172.92326,5358.1094,0.032273185,89.76503,3932.6257,0.022825725,t_motor_AS2820KV1050,apc_propellers_11x3
0.18396127,0.3048,20000.0,1000.0,0.55,10390.98,11.1,22.87,606.28,54.62,10760.27,10.39,429.15,38.66,0.36588374,11612.72,12.61,28.43,889.63,70.53,124.31964,3295.6936,0.037721846,56.47928,2332.828,0.024210649,t_motor_AS2820KV1050,apc_propellers_12x4
0.17008142,0.254,24000.0,1000.0,0.5,17030.82,14.8,31.96,1089.92,73.64,17367.52,18.39,840.13,56.77,0.27202556,17303.02,15.06,33.17,1149.47,76.32,187.91,6408.2246,0.029323254,108.12468,4939.575,0.021889469,t_motor_AS2820KV1250,apc_propellers_10x3
0.14898948,0.2286,18000.0,1000.0,0.77,17005.6,14.8,29.27,1108.63,74.91,17054.53,20.84,1072.33,72.45,0.3077976,17196.92,14.98,30.02,1149.47,76.72,196.45682,7440.9946,0.026401956,139.87564,7197.3535,0.019434316,t_motor_AS2820KV1250,apc_propellers_9x4_1SF
0.14398319,0.254,16000.0,1000.0,0.75,11890.63,14.8,20.16,590.13,39.87,11989.98,12.04,538.4,36.38,0.3940298,12325.55,15.39,21.53,658.95,42.82,140.01636,4098.6035,0.034161963,83.62087,3739.3254,0.022362556,t_motor_AS2820KV880,apc_propellers_10x4_6SF
0.10988948,0.244475,18000.0,1000.0,0.64,16201.01,14.8,18.04,551.01,37.23,15945.69,13.34,612.21,41.37,0.3078247,16483.86,15.08,18.7,578.95,38.38,164.16495,5014.2197,0.032739878,121.3947,5571.143,0.021789908,t_motor_AT2317KV1250,apc_propellers_9_625x3_75N
0.085125566,0.1778,26999.0,3000.0,0.89,18630.51,14.8,14.29,664.33,44.89,18907.23,11.45,576.35,38.94,0.35696167,18929.71,15.1,14.66,715.08,47.37,167.86966,7804.118,0.021510394,134.50719,6770.5864,0.019866401,t_motor_AT2317KV1400,apc_propellers_7x4SF
