        62x16_5_1200_51_780                                 (62x16_5_1200_51_780.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        53.7        0.85      0.5759      0.3753      0.5517      51.200    2988.012     205.948  
        58.2        0.92      0.6161      0.3737      0.5564      51.629    3012.794     205.093  
        62.6        0.99      0.6493      0.3693      0.5618      52.139    3042.001     202.665  
        67.1        1.06      0.6798      0.3630      0.5652      52.447    3060.588     199.226  
        71.6        1.13      0.7077      0.3549      0.5662      52.528    3065.898     194.752  
        76.1        1.20      0.7356      0.3456      0.5635      52.286    3051.737     189.649  
        80.5        1.27      0.7586      0.3337      0.5588      51.844    3025.185     183.152  
        85.0        1.34      0.7813      0.3209      0.5505      51.079    2980.931     176.070  
        89.5        1.41      0.8005      0.3062      0.5398      50.087    2922.516     168.022  
        94.0        1.48      0.8191      0.2906      0.5258      48.786    2847.285     159.502  
        98.4        1.55      0.8368      0.2744      0.5091      47.244    2757.007     150.600  
       102.9        1.62      0.8513      0.2568      0.4896      45.434    2651.684     140.955  
       107.4        1.69      0.8639      0.2387      0.4679      43.422    2533.969     131.019  
       111.8        1.76      0.8754      0.2204      0.4441      41.210    2404.748     120.947  



         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3341      0.4465      56.832    2985.357     226.383  
         4.5        0.06      0.0475      0.3370      0.4504      57.329    3011.024     228.406  
         8.9        0.13      0.0949      0.3403      0.4553      57.945    3042.886     230.429  
        13.4        0.19      0.1420      0.3439      0.4612      58.710    3083.600     232.902  
        17.9        0.25      0.1886      0.3479      0.4685      59.635    3132.279     235.600  
        22.4        0.32      0.2344      0.3523      0.4772      60.735    3189.809     238.747  
        26.8        0.38      0.2791      0.3570      0.4873      62.036    3257.960     241.894  
        31.3        0.44      0.3242      0.3619      0.4962      63.162    3317.260     245.267  
        35.8        0.51      0.3690      0.3666      0.5047      64.235    3373.904     248.414  
        40.3        0.57      0.4128      0.3708      0.5133      65.348    3432.319     251.336  
        44.7        0.64      0.4512      0.3734      0.5255      66.890    3512.861     252.910  
        49.2        0.70      0.4915      0.3756      0.5338      67.949    3568.621     254.484  
        53.7        0.76      0.5298      0.3768      0.5418      68.969    3622.610     255.158  
        58.2        0.83      0.5660      0.3766      0.5494      69.921    3672.175     255.158  
        62.6        0.89      0.5998      0.3752      0.5561      70.779    3717.313     254.259  
        67.1        0.95      0.6314      0.3722      0.5616      71.476    3754.486     252.236  
        71.6        1.02      0.6606      0.3677      0.5656      71.986    3781.039     249.088  
        76.1        1.08      0.6876      0.3617      0.5679      72.281    3796.085     245.042  
        80.5        1.14      0.7125      0.3541      0.5681      72.321    3797.855     239.871  
        85.0        1.21      0.7379      0.3456      0.5651      71.932    3778.383     234.251  
        89.5        1.27      0.7587      0.3350      0.5607      71.382    3749.176     227.057  
        94.0        1.33      0.7778      0.3231      0.5540      70.511    3703.152     218.919  
        98.4        1.40      0.7972      0.3106      0.5442      69.277    3638.542     210.399  
       102.9        1.46      0.8133      0.2965      0.5325      67.775    3559.770     200.912  
       107.4        1.52      0.8297      0.2822      0.5183      65.978    3465.067     191.178  
       111.8        1.59      0.8447      0.2670      0.5018      63.873    3354.433     180.904  



         PROP RPM =       1320

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3342      0.4461      75.580    3609.334     274.042  
         4.5        0.06      0.0432      0.3368      0.4495      76.170    3636.772     276.065  
